,0,1,2,3,4
0,"[(0.0, 0.0), (10.55, 9.954), (12.283333333333333, 9.098), (11.333333333333334, 8.818), (15.833333333333334, 11.574)]","[(10.9, 9.954), (0.0, 0.0), (12.133333333333333, 6.874), (7.383333333333334, 4.912), (16.683333333333334, 11.895)]","[(12.233333333333333, 9.745), (10.25, 6.527), (0.0, 0.0), (4.016666666666667, 2.474), (8.983333333333333, 5.569)]","[(9.966666666666667, 8.668), (7.45, 4.932), (6.383333333333334, 2.854), (0.0, 0.0), (10.633333333333333, 6.53)]","[(15.0, 11.328), (15.85, 11.649), (6.433333333333334, 3.955), (9.916666666666666, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (15.016666666666667, 8.159), (3.8666666666666667, 1.517), (6.266666666666667, 2.346), (8.5, 3.056)]","[(15.35, 5.239), (0.0, 0.0), (18.25, 6.604), (20.516666666666666, 7.433), (18.866666666666667, 4.943)]","[(4.083333333333333, 1.58), (17.9, 11.005), (2.183333333333333, 0.872), (5.033333333333333, 1.765), (10.05, 3.425)]","[(6.516666666666667, 2.395), (20.5, 11.82), (5.033333333333333, 1.751), (0.0, 0.0), (8.933333333333334, 3.39)]","[(8.566666666666666, 3.121), (22.516666666666666, 8.267), (9.633333333333333, 3.425), (12.95, 5.457), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (16.383333333333333, 8.414), (13.55, 5.339), (4.983333333333333, 1.619), (7.916666666666667, 3.559)]","[(15.783333333333333, 7.816), (0.16666666666666666, 0.141), (6.45, 3.123), (10.2, 6.274), (6.283333333333333, 4.29)]","[(12.633333333333333, 5.292), (6.833333333333333, 2.929), (0.0, 0.0), (9.3, 4.517), (8.983333333333333, 3.814)]","[(5.583333333333333, 1.54), (12.583333333333334, 7.007), (10.116666666666667, 4.392), (0.0, 0.0), (3.566666666666667, 2.204)]","[(9.466666666666667, 3.525), (10.166666666666666, 5.202), (7.833333333333333, 3.311), (3.683333333333333, 2.095), (0.31666666666666665, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.75, 2.01), (12.55, 4.063), (23.8, 7.535), (8.216666666666667, 3.081)]","[(7.283333333333333, 2.031), (0.18333333333333332, 0.079), (7.583333333333333, 2.431), (18.116666666666667, 5.265), (4.35, 1.826)]","[(15.083333333333334, 3.951), (9.583333333333334, 2.178), (0.0, 0.0), (12.816666666666666, 3.326), (8.166666666666666, 2.302)]","[(24.95, 9.666), (19.816666666666666, 8.723), (13.233333333333333, 3.76), (0.0, 0.0), (16.75, 6.694)]","[(9.383333333333333, 3.068), (4.2, 2.125), (7.3, 2.545), (16.733333333333334, 6.134), (0.0, 0.0)]"
4,"[(0.0, 0.0), (4.6, 1.506), (6.066666666666666, 2.034), (2.433333333333333, 0.902), (4.683333333333334, 1.717)]","[(4.3, 1.619), (0.0, 0.0), (6.45, 1.948), (4.3, 1.58), (6.533333333333333, 2.601)]","[(6.75, 2.16), (5.966666666666667, 1.846), (0.0, 0.0), (4.516666666666667, 1.297), (4.233333333333333, 1.541)]","[(2.316666666666667, 1.039), (3.783333333333333, 1.373), (3.6, 1.131), (0.4, 0.168), (3.8, 1.459)]","[(4.133333333333334, 1.64), (7.766666666666667, 2.491), (3.533333333333333, 1.508), (3.65, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.183333333333334, 2.005), (2.8833333333333333, 1.115), (5.516666666666667, 1.675), (11.35, 5.69)]","[(5.516666666666667, 1.384), (0.23333333333333334, 0.099), (4.733333333333333, 1.803), (7.35, 2.106), (11.216666666666667, 5.074)]","[(3.2333333333333334, 1.161), (7.2, 2.209), (0.0, 0.0), (3.966666666666667, 1.393), (11.75, 6.726)]","[(7.366666666666666, 1.715), (5.133333333333334, 1.131), (5.65, 1.405), (0.0, 0.0), (12.8, 6.454)]","[(5.566666666666666, 2.429), (6.8, 2.399), (5.533333333333333, 2.061), (4.366666666666666, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (5.616666666666666, 1.561), (4.816666666666666, 2.003), (8.733333333333333, 2.899), (11.233333333333333, 4.311)]","[(9.8, 2.074), (0.7333333333333333, 0.255), (10.333333333333334, 2.771), (14.466666666666667, 3.969), (16.383333333333333, 5.381)]","[(6.366666666666666, 2.128), (12.133333333333333, 3.69), (0.3, 0.092), (10.166666666666666, 3.148), (11.05, 4.103)]","[(12.383333333333333, 2.892), (17.55, 4.454), (11.316666666666666, 3.034), (0.0, 0.0), (11.95, 4.685)]","[(13.866666666666667, 4.541), (17.55, 6.45), (8.35, 3.361), (14.983333333333333, 5.595), (0.0, 0.0)]"
7,"[(0.0, 0.0), (10.516666666666667, 2.901), (10.616666666666667, 4.873), (5.633333333333334, 1.583), (16.933333333333334, 5.598)]","[(9.366666666666667, 2.777), (0.0, 0.0), (8.766666666666667, 2.191), (8.15, 1.976), (7.5, 2.388)]","[(8.483333333333333, 3.745), (10.066666666666666, 2.696), (0.0, 0.0), (8.033333333333333, 2.966), (6.766666666666667, 2.653)]","[(6.866666666666666, 2.214), (7.966666666666667, 1.855), (13.933333333333334, 3.229), (0.0, 0.0), (14.233333333333333, 4.552)]","[(12.666666666666666, 4.778), (8.866666666666667, 2.701), (8.5, 3.037), (12.266666666666667, 3.999), (0.1, 0.032)]"
8,"[(0.0, 0.0), (5.8, 1.863), (4.283333333333333, 1.792), (5.1, 2.131), (3.8333333333333335, 1.775)]","[(3.5833333333333335, 1.245), (0.2, 0.198), (8.083333333333334, 3.038), (3.45, 1.906), (7.75, 3.021)]","[(6.283333333333333, 2.658), (14.433333333333334, 3.658), (0.45, 0.147), (11.55, 3.795), (4.383333333333334, 1.855)]","[(3.3833333333333333, 1.604), (7.45, 3.155), (7.816666666666666, 3.397), (0.0, 0.0), (7.516666666666667, 2.194)]","[(8.616666666666667, 1.699), (14.05, 3.534), (4.366666666666666, 1.763), (10.1, 3.481), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.55, 3.067), (11.083333333333334, 5.376), (3.6166666666666667, 1.841), (7.083333333333333, 3.114)]","[(4.9, 2.844), (0.0, 0.0), (7.583333333333333, 3.387), (3.933333333333333, 2.164), (7.15, 2.842)]","[(11.416666666666666, 4.976), (9.516666666666667, 4.272), (0.0, 0.0), (10.5, 5.143), (7.933333333333334, 2.493)]","[(3.2666666666666666, 1.38), (5.833333333333333, 2.687), (6.45, 3.743), (0.35, 0.136), (4.35, 1.526)]","[(5.933333333333334, 2.98), (10.95, 4.426), (6.383333333333334, 2.708), (5.683333333333334, 3.002), (0.0, 0.0)]"
