,0,1,2,3,4
0,"[(0.0, 0.0), (10.183333333333334, 9.954), (12.683333333333334, 9.098), (10.8, 8.818), (14.833333333333334, 11.574)]","[(10.833333333333334, 9.954), (0.0, 0.0), (12.4, 6.874), (7.266666666666667, 4.912), (15.366666666666667, 11.895)]","[(12.283333333333333, 9.745), (10.166666666666666, 6.527), (0.0, 0.0), (4.233333333333333, 2.474), (8.433333333333334, 5.569)]","[(10.4, 8.656), (7.433333333333334, 4.912), (7.383333333333334, 2.896), (0.0, 0.0), (9.9, 6.53)]","[(14.816666666666666, 11.328), (15.116666666666667, 11.649), (6.033333333333333, 3.955), (9.616666666666667, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.283333333333333, 8.159), (3.4, 1.517), (5.1, 2.346), (7.366666666666666, 3.056)]","[(8.033333333333333, 6.039), (0.0, 0.0), (10.033333333333333, 6.854), (11.733333333333333, 7.683), (11.783333333333333, 4.943)]","[(3.933333333333333, 1.58), (15.116666666666667, 11.005), (2.6166666666666667, 0.872), (4.566666666666666, 1.765), (8.9, 3.44)]","[(5.45, 2.395), (16.566666666666666, 11.82), (4.333333333333333, 1.751), (0.0, 0.0), (9.05, 3.39)]","[(8.7, 3.121), (15.65, 8.267), (9.8, 3.44), (12.25, 5.456), (6.95, 2.085)]"
2,"[(0.0, 0.0), (15.15, 7.38), (12.45, 5.231), (5.566666666666666, 1.619), (9.15, 3.575)]","[(13.983333333333333, 8.153), (0.2, 0.141), (5.783333333333333, 3.123), (9.166666666666666, 6.274), (5.5, 4.29)]","[(12.833333333333334, 5.766), (5.2, 2.929), (0.0, 0.0), (8.95, 4.517), (7.666666666666667, 3.932)]","[(4.966666666666667, 1.89), (11.2, 6.429), (8.916666666666666, 4.28), (0.0, 0.0), (4.45, 2.204)]","[(7.883333333333334, 4.046), (7.583333333333333, 5.202), (7.4, 3.939), (3.1, 2.167), (0.43333333333333335, 0.222)]"
3,"[(0.5, 0.191), (6.166666666666667, 2.01), (13.166666666666666, 4.063), (23.783333333333335, 7.336), (9.033333333333333, 3.081)]","[(6.0, 2.031), (0.2, 0.079), (8.616666666666667, 2.142), (17.916666666666668, 5.355), (4.666666666666667, 1.826)]","[(12.1, 3.951), (7.916666666666667, 2.468), (0.21666666666666667, 0.072), (11.116666666666667, 3.209), (6.683333333333334, 2.28)]","[(22.866666666666667, 8.046), (18.983333333333334, 5.242), (11.1, 3.701), (0.0, 0.0), (17.033333333333335, 6.634)]","[(8.133333333333333, 3.068), (4.25, 2.125), (7.0, 2.39), (15.766666666666667, 5.368), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (4.5, 1.519), (6.15, 2.034), (2.4166666666666665, 0.902), (4.683333333333334, 1.717)]","[(4.75, 1.619), (0.0, 0.0), (5.983333333333333, 1.948), (4.116666666666666, 1.58), (7.5, 2.557)]","[(6.533333333333333, 2.164), (5.9, 1.846), (0.1, 0.037), (4.35, 1.297), (4.266666666666667, 1.541)]","[(2.1666666666666665, 1.043), (3.316666666666667, 1.373), (3.6166666666666667, 1.13), (0.4, 0.168), (3.466666666666667, 1.461)]","[(3.8833333333333333, 1.644), (6.566666666666666, 2.616), (4.316666666666666, 1.508), (4.166666666666667, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (6.65, 2.005), (2.716666666666667, 1.129), (5.7, 1.668), (8.216666666666667, 5.69)]","[(4.5, 1.384), (0.26666666666666666, 0.099), (6.0, 1.788), (5.6, 1.93), (10.85, 6.379)]","[(2.8, 1.142), (5.4, 2.416), (0.0, 0.0), (3.966666666666667, 1.393), (8.266666666666667, 6.726)]","[(7.083333333333333, 1.715), (5.333333333333333, 1.131), (3.65, 1.481), (0.0, 0.0), (10.75, 6.454)]","[(5.266666666666667, 2.429), (8.65, 3.468), (7.85, 2.061), (6.883333333333334, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (5.3, 1.561), (4.616666666666666, 2.003), (9.233333333333333, 2.899), (8.283333333333333, 4.311)]","[(9.983333333333333, 3.042), (0.9666666666666667, 0.255), (9.6, 3.414), (15.316666666666666, 4.35), (13.75, 5.82)]","[(6.483333333333333, 2.148), (12.266666666666667, 3.283), (0.3, 0.092), (12.6, 4.328), (8.65, 4.279)]","[(9.583333333333334, 2.912), (15.0, 4.474), (9.633333333333333, 3.034), (0.0, 0.0), (10.35, 4.749)]","[(9.166666666666666, 3.802), (14.466666666666667, 5.364), (7.283333333333333, 3.361), (12.983333333333333, 5.431), (0.0, 0.0)]"
7,"[(0.0, 0.0), (7.983333333333333, 2.737), (9.583333333333334, 4.597), (4.316666666666666, 1.583), (14.466666666666667, 4.959)]","[(8.15, 2.777), (0.0, 0.0), (6.316666666666666, 2.191), (7.35, 1.976), (7.216666666666667, 2.388)]","[(10.1, 3.745), (10.9, 2.696), (0.0, 0.0), (12.066666666666666, 2.966), (8.1, 2.653)]","[(7.033333333333333, 2.211), (6.45, 1.855), (10.75, 3.229), (0.0, 0.0), (13.1, 4.621)]","[(13.266666666666667, 4.778), (9.016666666666667, 2.701), (8.666666666666666, 3.037), (15.3, 4.517), (0.1, 0.032)]"
8,"[(0.0, 0.0), (4.083333333333333, 1.812), (5.633333333333334, 1.792), (3.3666666666666667, 2.131), (4.983333333333333, 1.653)]","[(3.533333333333333, 1.245), (0.2, 0.198), (8.416666666666666, 3.038), (2.8833333333333333, 1.906), (8.4, 3.021)]","[(4.8, 1.823), (9.133333333333333, 3.607), (0.43333333333333335, 0.147), (8.4, 3.926), (5.05, 1.855)]","[(2.6333333333333333, 1.604), (5.2, 1.83), (7.516666666666667, 3.397), (0.0, 0.0), (7.6, 2.194)]","[(4.55, 1.804), (9.283333333333333, 3.588), (4.85, 1.763), (8.283333333333333, 3.907), (0.0, 0.0)]"
9,"[(1.25, 0.312), (6.3, 3.999), (9.6, 5.598), (3.566666666666667, 1.841), (5.733333333333333, 3.074)]","[(4.666666666666667, 2.844), (0.0, 0.0), (5.95, 3.387), (3.4833333333333334, 2.164), (6.7, 2.842)]","[(10.283333333333333, 4.976), (8.45, 4.272), (0.0, 0.0), (9.9, 5.143), (7.433333333333334, 2.346)]","[(3.283333333333333, 1.38), (5.3, 3.226), (6.516666666666667, 3.743), (0.36666666666666664, 0.136), (4.583333333333333, 1.708)]","[(5.75, 2.98), (9.816666666666666, 4.426), (7.916666666666667, 2.831), (5.516666666666667, 3.002), (0.0, 0.0)]"
