,0,1,2,3,4
0,"[(0.0, 0.0), (10.45, 9.954), (12.116666666666667, 9.098), (11.1, 8.818), (15.283333333333333, 11.574)]","[(10.933333333333334, 9.954), (0.0, 0.0), (11.433333333333334, 6.874), (7.216666666666667, 4.912), (15.816666666666666, 11.257)]","[(12.3, 9.745), (10.283333333333333, 6.527), (0.0, 0.0), (4.35, 2.474), (8.433333333333334, 5.569)]","[(10.15, 8.656), (7.2, 4.932), (6.5, 2.896), (0.13333333333333333, 0.123), (10.316666666666666, 6.53)]","[(15.033333333333333, 11.375), (15.283333333333333, 11.696), (6.216666666666667, 4.002), (9.766666666666667, 6.321), (0.0, 0.0)]"
1,"[(0.0, 0.0), (13.35, 10.252), (3.75, 1.517), (5.616666666666666, 2.346), (7.7, 3.056)]","[(11.016666666666667, 5.239), (0.0, 0.0), (14.016666666666667, 6.854), (15.883333333333333, 7.683), (14.6, 4.943)]","[(4.033333333333333, 1.58), (15.283333333333333, 11.005), (2.6166666666666667, 0.872), (4.666666666666667, 1.765), (9.533333333333333, 3.425)]","[(5.566666666666666, 2.395), (16.666666666666668, 11.82), (4.366666666666666, 1.751), (0.0, 0.0), (9.2, 3.39)]","[(8.816666666666666, 3.121), (16.15, 8.267), (10.016666666666667, 3.44), (12.766666666666667, 5.456), (7.3, 2.085)]"
2,"[(0.0, 0.0), (15.75, 8.371), (13.95, 5.339), (4.983333333333333, 1.619), (7.9, 3.559)]","[(15.633333333333333, 7.919), (0.3, 0.141), (6.783333333333333, 3.123), (10.583333333333334, 6.39), (6.05, 4.29)]","[(11.716666666666667, 5.292), (5.966666666666667, 2.929), (0.0, 0.0), (8.25, 4.517), (7.366666666666666, 3.71)]","[(4.7, 1.54), (12.633333333333333, 7.007), (11.5, 4.284), (0.0, 0.0), (3.3333333333333335, 2.204)]","[(8.083333333333334, 3.525), (9.716666666666667, 5.202), (8.566666666666666, 3.939), (3.3333333333333335, 2.095), (0.31666666666666665, 0.222)]"
3,"[(0.5166666666666667, 0.191), (6.15, 2.01), (12.633333333333333, 4.063), (24.45, 7.345), (9.3, 3.081)]","[(6.166666666666667, 2.031), (0.21666666666666667, 0.079), (7.966666666666667, 2.808), (20.716666666666665, 6.081), (4.633333333333334, 1.826)]","[(13.233333333333333, 3.951), (8.4, 2.468), (0.25, 0.072), (13.766666666666667, 4.051), (7.633333333333334, 2.302)]","[(22.8, 7.677), (18.35, 5.644), (10.1, 3.701), (0.0, 0.0), (15.683333333333334, 6.635)]","[(7.7, 3.068), (3.6666666666666665, 2.125), (6.416666666666667, 2.39), (17.1, 5.248), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (4.233333333333333, 1.506), (6.366666666666666, 2.034), (2.6166666666666667, 0.902), (4.6, 1.717)]","[(4.366666666666666, 1.564), (0.0, 0.0), (6.333333333333333, 1.948), (4.416666666666667, 1.58), (8.283333333333333, 2.557)]","[(6.766666666666667, 2.16), (5.933333333333334, 1.846), (0.05, 0.037), (4.616666666666666, 1.294), (4.933333333333334, 1.541)]","[(2.4, 1.039), (3.566666666666667, 1.373), (3.6, 1.131), (0.4166666666666667, 0.168), (3.933333333333333, 1.468)]","[(4.683333333333334, 1.64), (6.683333333333334, 3.011), (5.966666666666667, 1.508), (4.15, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (6.3, 2.005), (4.233333333333333, 1.223), (5.816666666666666, 1.675), (13.85, 5.747)]","[(5.8, 1.384), (0.26666666666666666, 0.099), (5.316666666666666, 1.876), (7.266666666666667, 2.758), (13.466666666666667, 5.158)]","[(3.2666666666666666, 1.161), (6.183333333333334, 2.209), (0.0, 0.0), (3.8833333333333333, 1.393), (15.066666666666666, 6.726)]","[(6.816666666666666, 1.715), (5.433333333333334, 1.131), (5.483333333333333, 1.405), (0.0, 0.0), (15.516666666666667, 6.454)]","[(6.35, 2.459), (6.55, 2.399), (5.95, 2.061), (4.983333333333333, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (5.1, 1.561), (4.966666666666667, 2.003), (9.85, 3.338), (11.0, 4.311)]","[(10.983333333333333, 2.228), (0.9, 0.255), (10.266666666666667, 3.047), (16.65, 4.488), (16.783333333333335, 5.535)]","[(7.116666666666666, 1.721), (12.6, 3.283), (0.3, 0.092), (9.633333333333333, 3.306), (10.933333333333334, 4.585)]","[(12.55, 2.864), (18.35, 4.41), (10.866666666666667, 3.674), (0.0, 0.0), (11.366666666666667, 4.877)]","[(10.866666666666667, 3.802), (16.2, 5.364), (7.383333333333334, 3.361), (13.666666666666666, 5.505), (0.0, 0.0)]"
7,"[(0.0, 0.0), (10.7, 2.901), (12.15, 4.597), (5.583333333333333, 1.583), (17.4, 5.574)]","[(7.0, 2.777), (0.0, 0.0), (8.15, 2.359), (5.833333333333333, 1.976), (7.733333333333333, 2.374)]","[(6.683333333333334, 3.745), (8.15, 2.696), (0.0, 0.0), (7.4, 2.966), (6.916666666666667, 2.703)]","[(7.066666666666666, 2.214), (7.3, 1.855), (15.016666666666667, 3.229), (0.0, 0.0), (14.166666666666666, 4.528)]","[(11.766666666666667, 4.868), (8.483333333333333, 2.701), (8.6, 3.275), (12.5, 4.089), (0.08333333333333333, 0.032)]"
8,"[(0.0, 0.0), (5.45, 1.904), (4.416666666666667, 1.792), (4.066666666666666, 2.131), (4.366666666666666, 1.775)]","[(6.516666666666667, 1.245), (0.2, 0.198), (11.116666666666667, 3.038), (2.933333333333333, 1.906), (11.316666666666666, 3.021)]","[(6.8, 1.823), (12.35, 3.699), (0.4166666666666667, 0.147), (9.316666666666666, 3.558), (4.316666666666666, 1.855)]","[(6.516666666666667, 1.743), (5.983333333333333, 1.83), (8.316666666666666, 2.697), (0.0, 0.0), (7.266666666666667, 2.194)]","[(6.733333333333333, 1.804), (12.233333333333333, 3.68), (3.966666666666667, 1.763), (9.233333333333333, 3.539), (0.0, 0.0)]"
9,"[(1.25, 0.312), (6.116666666666666, 3.999), (10.316666666666666, 5.449), (3.2333333333333334, 1.841), (6.35, 3.074)]","[(4.983333333333333, 2.844), (0.0, 0.0), (9.1, 3.387), (3.9166666666666665, 2.164), (6.983333333333333, 2.842)]","[(12.083333333333334, 4.976), (9.75, 4.272), (0.0, 0.0), (11.433333333333334, 5.143), (8.083333333333334, 2.493)]","[(3.35, 1.38), (5.75, 3.008), (7.516666666666667, 3.743), (0.4166666666666667, 0.136), (5.783333333333333, 1.431)]","[(5.916666666666667, 2.673), (10.2, 4.028), (8.283333333333333, 2.708), (5.833333333333333, 3.002), (0.0, 0.0)]"
