,0,1,2,3,4
0,"[(0.0, 0.0), (10.2, 9.954), (12.7, 9.098), (10.7, 8.818), (14.933333333333334, 11.574)]","[(10.716666666666667, 9.954), (0.0, 0.0), (12.133333333333333, 6.874), (7.05, 4.912), (15.316666666666666, 11.257)]","[(12.133333333333333, 9.745), (10.016666666666667, 6.527), (0.0, 0.0), (4.133333333333334, 2.474), (8.266666666666667, 5.569)]","[(10.3, 8.656), (7.283333333333333, 4.912), (7.4, 2.896), (0.0, 0.0), (10.066666666666666, 6.53)]","[(14.75, 11.328), (15.133333333333333, 11.649), (6.116666666666666, 3.955), (9.6, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (11.866666666666667, 8.159), (3.283333333333333, 1.517), (4.983333333333333, 2.346), (7.366666666666666, 3.056)]","[(7.7, 6.039), (0.0, 0.0), (9.733333333333333, 6.854), (11.416666666666666, 7.683), (11.45, 4.943)]","[(3.7333333333333334, 1.58), (14.766666666666667, 11.005), (2.6166666666666667, 0.872), (3.95, 1.751), (8.9, 3.44)]","[(5.15, 2.395), (16.1, 11.82), (4.266666666666667, 1.751), (0.0, 0.0), (9.033333333333333, 3.39)]","[(8.716666666666667, 3.121), (15.666666666666666, 8.267), (9.866666666666667, 3.44), (12.516666666666667, 5.456), (6.95, 2.085)]"
2,"[(0.0, 0.0), (13.85, 7.771), (10.916666666666666, 5.622), (4.483333333333333, 2.01), (8.0, 4.54)]","[(16.033333333333335, 8.079), (0.2, 0.141), (5.583333333333333, 3.123), (9.366666666666667, 6.39), (5.383333333333334, 4.29)]","[(11.933333333333334, 5.766), (5.383333333333334, 2.929), (0.0, 0.0), (8.566666666666666, 4.517), (7.516666666666667, 3.71)]","[(5.183333333333334, 1.89), (10.816666666666666, 7.007), (7.983333333333333, 4.28), (0.0, 0.0), (3.55, 2.204)]","[(8.4, 3.999), (7.8, 5.202), (6.333333333333333, 3.311), (3.433333333333333, 2.167), (0.3, 0.222)]"
3,"[(0.45, 0.191), (6.016666666666667, 2.01), (12.65, 4.063), (23.033333333333335, 8.184), (9.016666666666667, 3.081)]","[(6.15, 2.031), (0.21666666666666667, 0.079), (8.466666666666667, 2.808), (19.016666666666666, 5.82), (4.783333333333333, 1.826)]","[(11.883333333333333, 3.951), (6.883333333333334, 2.178), (0.21666666666666667, 0.072), (11.65, 3.824), (6.3, 2.28)]","[(22.566666666666666, 8.907), (18.966666666666665, 5.703), (10.533333333333333, 3.76), (0.0, 0.0), (15.433333333333334, 6.693)]","[(7.9, 3.068), (3.8666666666666667, 2.125), (5.95, 2.39), (14.766666666666667, 6.065), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (5.166666666666667, 1.519), (5.716666666666667, 2.034), (2.6166666666666667, 0.902), (5.016666666666667, 1.717)]","[(5.316666666666666, 1.619), (0.0, 0.0), (7.333333333333333, 1.948), (4.733333333333333, 1.58), (7.333333333333333, 2.601)]","[(7.35, 2.164), (6.983333333333333, 1.846), (0.1, 0.037), (5.2, 1.297), (5.05, 1.541)]","[(2.4166666666666665, 1.043), (3.8666666666666667, 1.373), (2.75, 1.131), (0.4166666666666667, 0.168), (3.6666666666666665, 1.461)]","[(3.816666666666667, 1.644), (7.55, 2.491), (3.65, 1.508), (4.233333333333333, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.766666666666667, 2.143), (3.7, 1.223), (5.35, 1.675), (7.4, 5.734)]","[(4.616666666666666, 1.384), (0.26666666666666666, 0.099), (5.616666666666666, 1.788), (6.066666666666666, 1.93), (9.6, 6.379)]","[(3.15, 1.142), (6.766666666666667, 2.209), (0.0, 0.0), (3.9166666666666665, 1.393), (7.716666666666667, 6.726)]","[(6.483333333333333, 1.715), (5.733333333333333, 1.131), (5.616666666666666, 1.405), (0.0, 0.0), (9.35, 6.454)]","[(5.65, 2.371), (6.066666666666666, 2.399), (4.816666666666666, 2.061), (3.6333333333333333, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.816666666666666, 1.561), (4.85, 1.719), (9.233333333333333, 2.899), (8.766666666666667, 4.311)]","[(7.666666666666667, 2.074), (0.9, 0.255), (8.5, 2.771), (13.233333333333333, 3.969), (12.283333333333333, 5.381)]","[(5.333333333333333, 2.148), (10.183333333333334, 3.71), (0.3, 0.092), (9.583333333333334, 3.148), (8.7, 4.279)]","[(8.7, 2.892), (13.716666666666667, 4.454), (9.416666666666666, 3.034), (0.2, 0.059), (10.783333333333333, 4.725)]","[(8.883333333333333, 3.802), (13.75, 5.364), (6.566666666666666, 3.361), (14.316666666666666, 5.325), (0.0, 0.0)]"
7,"[(0.0, 0.0), (8.416666666666666, 2.737), (9.066666666666666, 4.597), (4.616666666666666, 1.583), (13.516666666666667, 4.959)]","[(7.316666666666666, 3.135), (0.0, 0.0), (5.633333333333334, 2.191), (6.216666666666667, 1.976), (7.0, 2.388)]","[(7.866666666666666, 3.745), (8.766666666666667, 2.841), (0.0, 0.0), (7.966666666666667, 2.966), (6.7, 2.653)]","[(7.5, 2.002), (6.716666666666667, 1.855), (9.983333333333333, 3.229), (0.0, 0.0), (13.166666666666666, 4.063)]","[(13.383333333333333, 4.778), (8.483333333333333, 2.701), (8.433333333333334, 3.037), (13.4, 3.999), (0.1, 0.032)]"
8,"[(0.0, 0.0), (4.533333333333333, 1.904), (4.416666666666667, 1.792), (3.4, 2.131), (4.55, 1.653)]","[(3.0, 1.245), (0.2, 0.198), (7.55, 3.038), (2.75, 1.906), (7.733333333333333, 3.021)]","[(3.85, 1.823), (8.383333333333333, 3.607), (0.9, 0.147), (7.433333333333334, 3.926), (5.033333333333333, 1.855)]","[(2.466666666666667, 1.604), (5.1, 1.83), (7.0, 3.397), (0.0, 0.0), (6.933333333333334, 2.194)]","[(3.85, 1.804), (8.216666666666667, 3.588), (4.766666666666667, 1.763), (7.233333333333333, 3.907), (0.0, 0.0)]"
9,"[(1.25, 0.312), (6.1, 3.999), (9.85, 5.598), (3.433333333333333, 1.841), (6.366666666666666, 3.074)]","[(4.65, 2.844), (0.0, 0.0), (6.116666666666666, 3.387), (3.6333333333333333, 2.164), (6.683333333333334, 2.842)]","[(10.583333333333334, 4.976), (8.333333333333334, 4.272), (0.0, 0.0), (10.083333333333334, 5.143), (8.05, 2.346)]","[(3.283333333333333, 1.38), (5.15, 3.226), (6.0, 3.743), (0.36666666666666664, 0.136), (6.016666666666667, 1.431)]","[(5.916666666666667, 2.98), (10.616666666666667, 4.108), (6.9, 2.831), (5.766666666666667, 3.002), (0.0, 0.0)]"
