,0,1,2,3,4
0,"[(0.0, 0.0), (10.666666666666666, 9.954), (12.416666666666666, 9.098), (10.966666666666667, 8.818), (15.1, 11.574)]","[(10.4, 9.954), (0.0, 0.0), (11.866666666666667, 6.874), (7.35, 4.912), (15.6, 11.895)]","[(11.9, 9.745), (9.95, 6.527), (0.0, 0.0), (4.1, 2.474), (8.25, 5.569)]","[(10.1, 8.656), (7.3, 4.912), (6.883333333333334, 3.218), (0.0, 0.0), (10.066666666666666, 6.53)]","[(14.3, 11.328), (15.166666666666666, 11.649), (5.733333333333333, 3.955), (9.15, 6.274), (0.05, 0.045)]"
1,"[(0.0, 0.0), (12.15, 8.159), (3.3833333333333333, 1.517), (6.116666666666666, 2.346), (7.516666666666667, 3.056)]","[(7.733333333333333, 6.039), (0.0, 0.0), (9.533333333333333, 6.854), (12.216666666666667, 7.683), (11.116666666666667, 4.943)]","[(3.85, 1.58), (14.35, 11.005), (2.6166666666666667, 0.872), (5.333333333333333, 1.765), (8.8, 3.425)]","[(5.316666666666666, 2.395), (15.683333333333334, 11.82), (4.133333333333334, 1.751), (0.0, 0.0), (8.733333333333333, 3.39)]","[(8.683333333333334, 3.121), (16.7, 8.267), (9.466666666666667, 3.34), (11.716666666666667, 5.456), (6.95, 2.085)]"
2,"[(0.0, 0.0), (14.216666666666667, 7.396), (11.383333333333333, 5.231), (4.633333333333334, 1.619), (8.65, 4.149)]","[(16.0, 7.847), (0.65, 0.141), (5.766666666666667, 3.123), (11.333333333333334, 6.318), (7.233333333333333, 4.347)]","[(11.416666666666666, 5.292), (5.966666666666667, 2.929), (0.0, 0.0), (7.65, 4.517), (7.45, 3.814)]","[(4.683333333333334, 1.54), (11.25, 6.433), (8.216666666666667, 4.284), (0.0, 0.0), (3.4833333333333334, 2.204)]","[(7.966666666666667, 3.624), (9.466666666666667, 5.202), (6.483333333333333, 3.311), (3.2, 2.095), (0.35, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.216666666666667, 2.01), (11.2, 4.063), (20.7, 7.535), (7.583333333333333, 3.081)]","[(7.433333333333334, 2.031), (0.21666666666666667, 0.079), (7.85, 2.808), (17.366666666666667, 5.148), (4.283333333333333, 1.826)]","[(12.716666666666667, 4.095), (6.583333333333333, 2.178), (0.21666666666666667, 0.072), (10.7, 3.209), (5.683333333333334, 2.424)]","[(23.166666666666668, 8.849), (17.5, 5.198), (10.866666666666667, 3.745), (0.0, 0.0), (14.516666666666667, 6.635)]","[(9.433333333333334, 3.068), (3.8333333333333335, 1.738), (6.133333333333334, 2.39), (15.916666666666666, 6.066), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (4.716666666666667, 1.519), (4.933333333333334, 2.034), (2.283333333333333, 0.902), (4.5, 1.717)]","[(4.616666666666666, 1.619), (0.0, 0.0), (5.216666666666667, 1.948), (4.166666666666667, 1.58), (6.833333333333333, 2.557)]","[(5.783333333333333, 2.153), (5.216666666666667, 1.839), (0.0, 0.0), (4.316666666666666, 1.501), (4.233333333333333, 1.534)]","[(2.283333333333333, 1.039), (3.8833333333333333, 1.373), (2.566666666666667, 1.131), (0.4166666666666667, 0.168), (3.9833333333333334, 1.459)]","[(3.5833333333333335, 1.64), (6.3, 2.491), (3.65, 1.508), (3.683333333333333, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.283333333333333, 2.005), (2.7666666666666666, 1.115), (4.95, 1.675), (7.466666666666667, 5.69)]","[(4.666666666666667, 1.384), (0.0, 0.0), (5.733333333333333, 1.788), (5.5, 1.846), (8.966666666666667, 6.295)]","[(2.933333333333333, 1.161), (6.5, 2.209), (0.0, 0.0), (4.15, 1.401), (7.816666666666666, 6.726)]","[(5.333333333333333, 1.715), (4.466666666666667, 1.131), (4.25, 1.405), (0.0, 0.0), (8.183333333333334, 6.454)]","[(4.433333333333334, 2.459), (5.466666666666667, 2.399), (4.5, 2.061), (3.1166666666666667, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.466666666666667, 1.561), (4.083333333333333, 1.719), (8.45, 4.536), (7.55, 4.311)]","[(7.766666666666667, 2.074), (0.7666666666666667, 0.255), (7.8, 2.771), (12.883333333333333, 5.606), (11.85, 5.177)]","[(5.25, 2.148), (9.75, 3.71), (0.2833333333333333, 0.092), (9.1, 4.48), (8.183333333333334, 4.255)]","[(6.766666666666667, 2.892), (11.333333333333334, 4.454), (8.666666666666666, 3.137), (0.15, 0.059), (9.1, 4.125)]","[(9.016666666666667, 3.802), (13.483333333333333, 5.364), (6.483333333333333, 3.361), (14.1, 5.218), (0.0, 0.0)]"
7,"[(0.0, 0.0), (7.733333333333333, 2.901), (8.983333333333333, 4.597), (4.633333333333334, 1.583), (14.016666666666667, 4.634)]","[(7.633333333333334, 3.141), (0.0, 0.0), (5.033333333333333, 2.191), (5.283333333333333, 1.976), (6.483333333333333, 2.388)]","[(6.95, 3.745), (8.833333333333334, 3.478), (0.0, 0.0), (7.066666666666666, 2.966), (6.666666666666667, 2.653)]","[(7.55, 2.008), (6.666666666666667, 1.855), (9.883333333333333, 3.229), (0.0, 0.0), (13.133333333333333, 3.588)]","[(11.666666666666666, 4.927), (8.316666666666666, 2.701), (8.066666666666666, 3.186), (11.9, 4.148), (0.1, 0.032)]"
8,"[(0.0, 0.0), (4.216666666666667, 1.904), (4.216666666666667, 1.792), (2.9833333333333334, 2.131), (4.083333333333333, 1.775)]","[(2.9, 1.245), (0.2, 0.198), (7.15, 3.038), (2.7333333333333334, 1.906), (7.066666666666666, 3.021)]","[(4.466666666666667, 1.823), (8.883333333333333, 3.699), (0.5, 0.147), (7.566666666666666, 3.926), (4.333333333333333, 1.855)]","[(2.433333333333333, 1.604), (4.983333333333333, 1.83), (6.633333333333334, 3.397), (0.0, 0.0), (6.616666666666666, 3.38)]","[(4.483333333333333, 1.804), (8.95, 3.68), (4.233333333333333, 1.763), (7.616666666666666, 3.907), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (5.8, 3.999), (9.966666666666667, 5.449), (3.3833333333333333, 1.841), (6.3, 3.074)]","[(4.883333333333334, 2.844), (0.0, 0.0), (6.766666666666667, 3.387), (3.8833333333333333, 2.164), (7.566666666666666, 2.842)]","[(10.983333333333333, 4.976), (9.45, 4.272), (0.0, 0.0), (10.783333333333333, 5.143), (7.3, 2.755)]","[(3.4, 1.38), (5.966666666666667, 2.687), (6.883333333333334, 3.743), (0.35, 0.136), (6.066666666666666, 1.431)]","[(5.666666666666667, 2.98), (10.266666666666667, 4.586), (6.766666666666667, 2.708), (5.4, 3.002), (0.0, 0.0)]"
