,0,1,2,3,4
0,"[(0.0, 0.0), (10.333333333333334, 9.954), (12.283333333333333, 9.098), (10.566666666666666, 8.818), (14.916666666666666, 11.574)]","[(10.666666666666666, 9.954), (0.0, 0.0), (11.983333333333333, 6.874), (7.2, 4.912), (15.35, 11.257)]","[(11.8, 9.745), (9.833333333333334, 6.527), (0.0, 0.0), (4.316666666666666, 2.474), (8.366666666666667, 5.569)]","[(9.933333333333334, 8.656), (7.0, 4.932), (6.866666666666666, 2.854), (0.16666666666666666, 0.123), (9.966666666666667, 6.53)]","[(14.6, 11.328), (15.283333333333333, 11.649), (6.183333333333334, 3.955), (9.916666666666666, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.466666666666667, 10.252), (3.55, 1.517), (5.45, 2.346), (7.833333333333333, 3.056)]","[(8.65, 6.039), (0.0, 0.0), (10.216666666666667, 6.854), (12.116666666666667, 7.683), (13.1, 4.943)]","[(3.6, 1.58), (14.15, 11.005), (2.183333333333333, 0.872), (4.466666666666667, 1.765), (9.483333333333333, 3.425)]","[(5.233333333333333, 2.395), (15.866666666666667, 11.82), (4.183333333333334, 1.751), (0.0, 0.0), (9.05, 3.39)]","[(8.95, 3.121), (17.433333333333334, 8.267), (9.816666666666666, 3.425), (12.266666666666667, 5.456), (6.95, 2.085)]"
2,"[(0.0, 0.0), (13.566666666666666, 8.439), (10.216666666666667, 5.231), (3.8333333333333335, 1.546), (7.416666666666667, 3.575)]","[(11.683333333333334, 7.803), (0.65, 0.141), (5.6, 3.123), (7.05, 6.274), (4.733333333333333, 4.29)]","[(10.7, 5.292), (5.916666666666667, 2.929), (0.0, 0.0), (7.883333333333334, 4.517), (6.966666666666667, 3.71)]","[(4.666666666666667, 1.54), (9.25, 7.007), (7.6, 4.284), (0.0, 0.0), (4.433333333333334, 2.824)]","[(7.533333333333333, 3.696), (6.766666666666667, 5.202), (5.95, 3.115), (2.8666666666666667, 2.167), (0.35, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.783333333333333, 2.01), (12.3, 4.063), (21.316666666666666, 7.337), (8.966666666666667, 3.081)]","[(7.0, 2.031), (0.16666666666666666, 0.079), (7.783333333333333, 2.495), (15.033333333333333, 5.288), (5.033333333333333, 2.061)]","[(12.4, 4.095), (7.683333333333334, 2.178), (0.23333333333333334, 0.072), (11.366666666666667, 3.645), (5.266666666666667, 2.309)]","[(22.883333333333333, 8.908), (17.416666666666668, 5.198), (10.566666666666666, 3.76), (0.0, 0.0), (14.4, 6.694)]","[(8.333333333333334, 3.068), (3.45, 1.738), (5.916666666666667, 2.545), (14.833333333333334, 6.055), (0.0, 0.0)]"
4,"[(0.06666666666666667, 0.04), (4.6, 1.519), (5.55, 2.033), (2.0166666666666666, 0.902), (4.033333333333333, 1.852)]","[(3.85, 1.564), (0.0, 0.0), (6.0, 1.947), (3.6, 1.58), (7.283333333333333, 2.557)]","[(5.65, 2.16), (5.016666666666667, 1.846), (0.0, 0.0), (3.8833333333333333, 1.297), (3.9833333333333334, 1.541)]","[(2.033333333333333, 1.039), (3.566666666666667, 1.373), (3.5166666666666666, 1.13), (0.4166666666666667, 0.168), (3.2333333333333334, 1.461)]","[(3.9, 1.64), (6.95, 2.501), (4.333333333333333, 1.517), (4.133333333333334, 1.355), (0.0, 0.0)]"
5,"[(0.0, 0.0), (4.516666666666667, 2.005), (3.55, 1.223), (4.583333333333333, 1.675), (7.1, 5.69)]","[(3.6, 1.384), (0.0, 0.0), (4.833333333333333, 1.788), (5.083333333333333, 1.868), (9.066666666666666, 6.317)]","[(3.3666666666666667, 1.142), (6.05, 2.209), (0.0, 0.0), (3.1333333333333333, 1.393), (7.633333333333334, 6.726)]","[(5.433333333333334, 1.73), (4.216666666666667, 1.146), (4.483333333333333, 1.42), (0.16666666666666666, 0.089), (8.133333333333333, 6.469)]","[(4.9, 2.371), (4.833333333333333, 2.399), (3.95, 2.061), (2.55, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (3.8666666666666667, 1.561), (2.783333333333333, 1.719), (8.083333333333334, 2.899), (7.233333333333333, 4.125)]","[(7.4, 2.399), (0.7666666666666667, 0.255), (7.15, 2.925), (13.2, 3.969), (11.516666666666667, 5.331)]","[(4.933333333333334, 1.721), (9.316666666666666, 3.283), (0.3, 0.092), (11.816666666666666, 4.328), (10.9, 4.103)]","[(8.566666666666666, 2.892), (13.033333333333333, 4.454), (8.816666666666666, 3.202), (0.16666666666666666, 0.059), (9.15, 4.725)]","[(7.75, 3.802), (10.083333333333334, 5.364), (6.316666666666666, 3.361), (12.766666666666667, 5.57), (0.15, 0.118)]"
7,"[(0.0, 0.0), (6.85, 2.737), (8.733333333333333, 4.597), (4.366666666666666, 1.583), (12.133333333333333, 4.525)]","[(5.866666666666666, 3.141), (0.0, 0.0), (4.233333333333333, 2.191), (5.316666666666666, 1.976), (6.283333333333333, 2.374)]","[(6.666666666666667, 3.745), (7.716666666666667, 2.755), (0.0, 0.0), (6.516666666666667, 2.966), (6.383333333333334, 2.653)]","[(5.9, 2.008), (5.916666666666667, 1.855), (7.8, 3.229), (0.0, 0.0), (11.15, 3.643)]","[(10.883333333333333, 4.971), (7.283333333333333, 2.701), (7.766666666666667, 3.378), (11.116666666666667, 4.192), (0.05, 0.032)]"
8,"[(0.0, 0.0), (4.633333333333334, 1.904), (4.016666666666667, 1.792), (2.966666666666667, 2.131), (4.133333333333334, 1.775)]","[(2.9, 1.245), (0.2, 0.198), (6.95, 3.038), (2.466666666666667, 1.906), (7.066666666666666, 3.021)]","[(4.466666666666667, 1.823), (9.016666666666667, 3.699), (0.45, 0.147), (7.383333333333334, 3.926), (4.416666666666667, 1.855)]","[(2.0833333333333335, 1.604), (4.766666666666667, 1.83), (6.133333333333334, 3.397), (0.0, 0.0), (6.483333333333333, 2.194)]","[(4.6, 1.804), (9.15, 3.68), (4.15, 1.763), (7.15, 2.691), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.016666666666667, 3.999), (9.616666666666667, 5.449), (3.3833333333333333, 1.53), (6.266666666666667, 3.074)]","[(4.65, 2.844), (0.0, 0.0), (5.633333333333334, 3.387), (3.7, 2.164), (6.716666666666667, 2.993)]","[(10.633333333333333, 4.976), (8.666666666666666, 4.272), (0.0, 0.0), (10.366666666666667, 5.143), (8.116666666666667, 2.346)]","[(3.1666666666666665, 1.38), (5.333333333333333, 3.226), (6.65, 3.678), (0.3, 0.136), (5.816666666666666, 1.431)]","[(5.666666666666667, 2.98), (9.75, 4.028), (6.5, 2.763), (5.633333333333334, 3.002), (0.0, 0.0)]"
