,0,1,2,3,4
0,"[(0.0, 0.0), (10.783333333333333, 9.954), (12.933333333333334, 9.098), (10.816666666666666, 8.818), (15.433333333333334, 11.574)]","[(11.25, 9.954), (0.0, 0.0), (12.733333333333333, 6.874), (7.5, 4.912), (15.066666666666666, 11.214)]","[(12.1, 9.745), (10.083333333333334, 6.527), (0.0, 0.0), (4.15, 2.474), (8.5, 5.569)]","[(10.266666666666667, 8.643), (7.516666666666667, 4.932), (6.966666666666667, 2.883), (0.2, 0.123), (10.25, 6.53)]","[(14.783333333333333, 11.328), (15.616666666666667, 11.649), (6.05, 3.955), (9.55, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.083333333333334, 8.159), (3.4, 1.517), (5.25, 2.346), (10.183333333333334, 3.056)]","[(7.4, 6.039), (0.0, 0.0), (9.2, 6.854), (11.05, 7.683), (13.133333333333333, 4.943)]","[(3.6166666666666667, 1.58), (13.816666666666666, 11.005), (2.3833333333333333, 0.872), (4.45, 1.765), (11.4, 4.729)]","[(5.166666666666667, 2.395), (15.4, 11.82), (4.05, 1.751), (0.0, 0.0), (8.883333333333333, 3.39)]","[(8.45, 3.121), (14.783333333333333, 8.267), (9.316666666666666, 3.44), (13.066666666666666, 5.315), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (13.083333333333334, 8.439), (10.583333333333334, 5.231), (4.016666666666667, 1.619), (7.4, 3.575)]","[(11.85, 7.803), (0.2833333333333333, 0.141), (5.7, 3.123), (6.95, 6.274), (4.5, 4.29)]","[(10.366666666666667, 5.292), (5.1, 2.929), (0.0, 0.0), (6.85, 4.517), (5.633333333333334, 3.71)]","[(4.883333333333334, 1.54), (9.066666666666666, 7.007), (7.95, 4.284), (0.0, 0.0), (2.8833333333333333, 2.204)]","[(7.816666666666666, 3.696), (7.066666666666666, 5.202), (6.633333333333334, 3.115), (3.0, 2.167), (0.3333333333333333, 0.222)]"
3,"[(0.5166666666666667, 0.191), (4.983333333333333, 2.01), (10.666666666666666, 4.063), (20.783333333333335, 8.86), (7.15, 3.081)]","[(5.866666666666666, 2.031), (0.18333333333333332, 0.079), (7.366666666666666, 2.808), (17.433333333333334, 7.605), (3.85, 1.826)]","[(10.816666666666666, 3.951), (5.783333333333333, 2.178), (0.23333333333333334, 0.072), (10.65, 3.821), (5.1, 2.165)]","[(18.75, 9.666), (14.766666666666667, 8.723), (9.316666666666666, 3.76), (0.0, 0.0), (12.166666666666666, 6.694)]","[(7.666666666666667, 3.068), (3.683333333333333, 2.125), (5.766666666666667, 2.39), (14.6, 6.311), (0.0, 0.0)]"
4,"[(0.06666666666666667, 0.04), (4.433333333333334, 1.506), (6.1, 2.033), (2.283333333333333, 0.902), (4.3, 1.717)]","[(4.016666666666667, 1.619), (0.0, 0.0), (6.55, 1.947), (4.133333333333334, 1.58), (7.95, 2.557)]","[(6.583333333333333, 2.157), (6.0, 1.839), (0.08333333333333333, 0.037), (4.466666666666667, 1.5), (4.266666666666667, 1.534)]","[(2.183333333333333, 1.043), (3.6, 1.373), (3.8, 1.13), (0.38333333333333336, 0.168), (3.65, 1.459)]","[(3.7, 1.644), (7.483333333333333, 2.491), (4.116666666666666, 1.507), (3.75, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.7, 2.005), (3.8666666666666667, 1.223), (5.4, 1.675), (7.3, 5.73)]","[(4.3, 1.384), (0.0, 0.0), (5.65, 1.788), (7.183333333333334, 2.24), (9.266666666666667, 6.317)]","[(2.5833333333333335, 1.142), (5.683333333333334, 2.209), (0.0, 0.0), (3.65, 1.393), (6.583333333333333, 6.726)]","[(5.016666666666667, 1.715), (4.116666666666666, 1.131), (4.15, 1.405), (0.0, 0.0), (7.466666666666667, 6.454)]","[(4.216666666666667, 2.371), (4.9, 2.399), (3.3666666666666667, 2.061), (2.7666666666666666, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.1, 1.561), (3.3333333333333335, 1.719), (7.866666666666666, 3.285), (6.183333333333334, 4.125)]","[(8.05, 2.074), (0.7, 0.255), (7.483333333333333, 2.771), (12.116666666666667, 4.355), (10.25, 5.177)]","[(6.5, 1.721), (11.033333333333333, 3.283), (0.3, 0.092), (8.133333333333333, 3.253), (7.933333333333334, 4.279)]","[(8.35, 2.848), (12.883333333333333, 4.41), (7.483333333333333, 3.158), (0.16666666666666666, 0.059), (8.483333333333333, 4.081)]","[(6.716666666666667, 3.802), (11.25, 5.364), (6.25, 3.361), (13.266666666666667, 5.071), (0.15, 0.118)]"
7,"[(0.0, 0.0), (6.85, 2.901), (9.5, 4.275), (4.483333333333333, 1.583), (13.966666666666667, 4.634)]","[(7.116666666666666, 3.141), (0.0, 0.0), (4.366666666666666, 2.191), (5.75, 1.976), (6.216666666666667, 2.374)]","[(6.816666666666666, 3.745), (7.716666666666667, 2.755), (0.0, 0.0), (7.316666666666666, 2.966), (5.55, 2.653)]","[(5.766666666666667, 2.008), (5.316666666666666, 1.855), (7.55, 3.229), (0.0, 0.0), (12.316666666666666, 3.588)]","[(11.133333333333333, 4.971), (6.716666666666667, 2.701), (7.916666666666667, 3.378), (11.633333333333333, 4.192), (0.05, 0.032)]"
8,"[(0.0, 0.0), (4.666666666666667, 1.904), (3.466666666666667, 1.792), (3.0, 2.131), (4.166666666666667, 1.775)]","[(3.0166666666666666, 1.245), (0.2, 0.198), (7.066666666666666, 3.038), (2.5166666666666666, 1.906), (7.25, 3.021)]","[(4.566666666666666, 1.823), (9.133333333333333, 3.699), (0.45, 0.147), (7.533333333333333, 3.926), (4.566666666666666, 1.855)]","[(2.433333333333333, 1.604), (4.75, 1.83), (6.366666666666666, 3.397), (0.0, 0.0), (6.5, 2.194)]","[(4.533333333333333, 1.804), (9.1, 3.68), (3.7, 1.763), (7.266666666666667, 2.691), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (5.616666666666666, 3.999), (9.483333333333333, 5.449), (3.4, 1.53), (6.3, 3.074)]","[(4.65, 2.844), (0.0, 0.0), (6.316666666666666, 3.387), (3.75, 2.164), (6.916666666666667, 2.842)]","[(10.883333333333333, 4.976), (8.783333333333333, 4.272), (0.0, 0.0), (10.583333333333334, 5.143), (8.116666666666667, 2.346)]","[(3.15, 1.38), (5.4, 3.226), (6.483333333333333, 3.678), (0.3, 0.136), (4.366666666666666, 1.431)]","[(5.533333333333333, 2.98), (9.666666666666666, 4.028), (6.533333333333333, 2.763), (5.55, 3.002), (0.0, 0.0)]"
10,"[(0.0, 0.0), (6.833333333333333, 3.626), (3.4166666666666665, 1.538), (8.683333333333334, 4.677), (7.6, 2.833)]","[(8.966666666666667, 4.275), (0.38333333333333336, 0.214), (9.616666666666667, 4.556), (8.166666666666666, 4.122), (12.316666666666666, 6.718)]","[(5.116666666666666, 2.191), (9.633333333333333, 4.154), (0.0, 0.0), (6.716666666666667, 4.388), (10.683333333333334, 4.099)]","[(10.1, 5.566), (8.35, 4.975), (7.133333333333334, 4.712), (0.65, 0.454), (14.2, 6.909)]","[(7.966666666666667, 3.432), (10.083333333333334, 6.127), (9.733333333333333, 4.192), (14.05, 6.893), (0.0, 0.0)]"
11,"[(0.0, 0.0), (3.8333333333333335, 1.118), (5.75, 1.779), (7.05, 2.28), (4.65, 1.323)]","[(2.433333333333333, 0.902), (0.31666666666666665, 0.069), (5.616666666666666, 1.637), (6.916666666666667, 2.138), (2.55, 0.665)]","[(5.416666666666667, 2.088), (3.7333333333333334, 1.276), (0.0, 0.0), (3.033333333333333, 1.163), (4.25, 1.649)]","[(7.416666666666667, 2.374), (6.116666666666666, 2.055), (1.9666666666666666, 0.778), (0.2833333333333333, 0.12), (6.6, 2.428)]","[(3.7333333333333334, 1.348), (1.5833333333333333, 0.617), (5.383333333333334, 1.855), (6.683333333333334, 2.356), (0.0, 0.0)]"
12,"[(0.0, 0.0), (5.766666666666667, 2.339), (2.4, 1.133), (9.583333333333334, 2.931), (2.933333333333333, 1.287)]","[(3.683333333333333, 2.352), (0.0, 0.0), (3.716666666666667, 1.493), (4.75, 1.217), (3.1666666666666665, 1.255)]","[(2.7666666666666666, 1.155), (6.116666666666666, 2.086), (0.36666666666666664, 0.073), (7.133333333333334, 2.371), (3.316666666666667, 1.034)]","[(7.016666666666667, 3.121), (3.85, 1.491), (6.583333333333333, 2.421), (0.0, 0.0), (6.033333333333333, 2.183)]","[(3.15, 1.376), (5.633333333333334, 1.973), (2.7666666666666666, 1.018), (9.45, 2.565), (0.45, 0.121)]"
13,"[(0.0, 0.0), (4.95, 2.121), (8.2, 3.24), (7.9, 3.469), (11.35, 5.235)]","[(4.733333333333333, 2.171), (0.31666666666666665, 0.253), (8.316666666666666, 4.105), (3.9833333333333334, 1.559), (9.133333333333333, 4.352)]","[(4.45, 2.13), (8.133333333333333, 3.622), (0.0, 0.0), (9.55, 3.826), (9.4, 3.592)]","[(7.383333333333334, 3.52), (3.15, 1.556), (7.766666666666667, 3.722), (0.0, 0.0), (7.716666666666667, 3.519)]","[(10.45, 5.16), (7.833333333333333, 4.18), (7.0, 3.246), (7.166666666666667, 3.35), (0.0, 0.0)]"
