,0,1,2,3,4
0,"[(0.0, 0.0), (10.766666666666667, 9.954), (12.85, 9.098), (10.8, 8.818), (15.5, 11.574)]","[(11.25, 9.954), (0.0, 0.0), (12.6, 6.874), (7.466666666666667, 4.912), (15.966666666666667, 11.214)]","[(12.433333333333334, 9.745), (10.25, 6.527), (0.0, 0.0), (4.416666666666667, 2.474), (8.766666666666667, 5.569)]","[(10.416666666666666, 8.643), (7.5, 4.932), (6.733333333333333, 2.854), (0.2, 0.123), (10.383333333333333, 6.53)]","[(14.55, 11.328), (15.316666666666666, 11.649), (5.733333333333333, 3.955), (9.783333333333333, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (13.816666666666666, 10.252), (3.433333333333333, 1.517), (3.966666666666667, 2.332), (10.15, 3.056)]","[(8.0, 5.239), (0.0, 0.0), (9.95, 6.854), (12.05, 7.683), (13.133333333333333, 4.943)]","[(3.8333333333333335, 1.58), (15.2, 11.005), (2.3833333333333333, 0.872), (3.033333333333333, 1.751), (10.566666666666666, 4.729)]","[(5.35, 2.395), (16.85, 11.82), (4.05, 1.751), (0.0, 0.0), (8.9, 3.39)]","[(8.383333333333333, 3.121), (18.3, 8.267), (9.316666666666666, 3.44), (13.45, 5.315), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (16.866666666666667, 7.38), (13.766666666666667, 5.231), (5.566666666666666, 1.619), (9.4, 4.149)]","[(14.966666666666667, 8.128), (0.2833333333333333, 0.141), (6.266666666666667, 3.123), (9.883333333333333, 6.599), (6.033333333333333, 4.29)]","[(12.383333333333333, 5.292), (5.45, 2.929), (0.0, 0.0), (8.166666666666666, 4.517), (7.533333333333333, 3.71)]","[(4.916666666666667, 1.54), (12.883333333333333, 6.433), (9.716666666666667, 4.284), (0.0, 0.0), (3.6666666666666665, 2.204)]","[(8.75, 3.525), (10.033333333333333, 5.202), (9.1, 3.115), (3.716666666666667, 2.095), (0.31666666666666665, 0.222)]"
3,"[(0.5166666666666667, 0.191), (4.983333333333333, 2.01), (10.833333333333334, 4.063), (24.066666666666666, 7.175), (7.35, 3.081)]","[(5.833333333333333, 2.031), (0.18333333333333332, 0.079), (7.466666666666667, 2.808), (20.083333333333332, 5.205), (3.966666666666667, 1.826)]","[(11.916666666666666, 3.951), (8.15, 2.178), (0.23333333333333334, 0.072), (12.483333333333333, 3.209), (5.65, 2.165)]","[(22.833333333333332, 9.666), (18.866666666666667, 8.723), (12.866666666666667, 3.76), (0.0, 0.0), (17.483333333333334, 6.693)]","[(7.683333333333334, 3.068), (3.7333333333333334, 2.125), (6.05, 2.39), (16.5, 6.144), (0.0, 0.0)]"
4,"[(0.06666666666666667, 0.04), (5.033333333333333, 1.503), (5.133333333333334, 2.064), (2.2666666666666666, 0.902), (4.583333333333333, 1.709)]","[(4.283333333333333, 1.619), (0.0, 0.0), (6.916666666666667, 1.947), (4.016666666666667, 1.58), (8.783333333333333, 2.549)]","[(6.75, 2.157), (7.016666666666667, 1.839), (0.08333333333333333, 0.037), (4.85, 1.5), (4.816666666666666, 1.526)]","[(2.1333333333333333, 1.043), (4.966666666666667, 1.373), (4.483333333333333, 1.13), (0.4, 0.168), (3.8833333333333333, 1.451)]","[(3.9166666666666665, 1.644), (8.516666666666667, 2.491), (3.95, 1.507), (3.9, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (7.566666666666666, 2.143), (3.8666666666666667, 1.223), (6.35, 1.675), (10.9, 5.747)]","[(4.983333333333333, 1.384), (0.0, 0.0), (6.45, 1.788), (8.85, 2.24), (13.533333333333333, 5.074)]","[(3.283333333333333, 1.161), (7.95, 2.42), (0.0, 0.0), (5.716666666666667, 1.393), (11.966666666666667, 6.726)]","[(6.733333333333333, 1.715), (5.35, 1.131), (5.266666666666667, 1.405), (0.0, 0.0), (11.566666666666666, 6.454)]","[(6.783333333333333, 2.371), (8.266666666666667, 2.399), (5.583333333333333, 2.061), (4.583333333333333, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (5.683333333333334, 1.561), (4.133333333333334, 2.003), (8.316666666666666, 2.899), (8.883333333333333, 4.311)]","[(11.116666666666667, 2.074), (0.7, 0.255), (12.183333333333334, 2.771), (14.45, 3.997), (16.25, 5.381)]","[(5.466666666666667, 1.735), (11.116666666666667, 3.297), (0.3, 0.092), (9.333333333333334, 3.148), (9.083333333333334, 4.279)]","[(12.916666666666666, 2.848), (18.45, 4.41), (12.216666666666667, 2.99), (0.16666666666666666, 0.059), (10.95, 4.749)]","[(9.633333333333333, 3.802), (15.083333333333334, 5.364), (6.516666666666667, 3.361), (13.366666666666667, 5.325), (0.15, 0.118)]"
7,"[(0.0, 0.0), (10.1, 2.901), (8.9, 4.873), (6.15, 1.583), (16.283333333333335, 6.061)]","[(8.716666666666667, 2.777), (0.0, 0.0), (8.133333333333333, 2.191), (8.3, 1.976), (7.066666666666666, 2.374)]","[(7.533333333333333, 3.745), (8.866666666666667, 3.478), (0.0, 0.0), (8.2, 2.966), (6.966666666666667, 2.653)]","[(6.533333333333333, 2.214), (5.733333333333333, 1.855), (11.5, 3.229), (0.0, 0.0), (12.4, 4.615)]","[(13.433333333333334, 4.971), (8.55, 2.986), (9.8, 3.229), (14.2, 4.192), (0.05, 0.032)]"
8,"[(0.0, 0.0), (4.8, 1.904), (3.7, 1.792), (3.6166666666666667, 2.131), (4.25, 1.775)]","[(3.466666666666667, 1.245), (0.2, 0.198), (7.533333333333333, 3.038), (3.1333333333333333, 1.906), (8.016666666666667, 3.021)]","[(7.266666666666667, 1.823), (12.133333333333333, 3.699), (0.48333333333333334, 0.147), (10.933333333333334, 3.214), (4.933333333333334, 1.855)]","[(3.0, 1.604), (5.133333333333334, 1.83), (7.366666666666666, 3.397), (0.0, 0.0), (7.483333333333333, 3.38)]","[(5.55, 1.912), (10.333333333333334, 3.788), (4.883333333333334, 1.763), (8.7, 3.352), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.016666666666667, 3.999), (11.133333333333333, 5.598), (3.4, 1.53), (7.133333333333334, 3.074)]","[(4.75, 2.844), (0.0, 0.0), (7.216666666666667, 3.387), (3.783333333333333, 2.164), (7.083333333333333, 2.842)]","[(12.85, 5.823), (10.133333333333333, 4.272), (0.0, 0.0), (11.95, 5.143), (7.066666666666666, 2.472)]","[(3.15, 1.38), (5.45, 3.226), (7.4, 3.743), (0.3, 0.136), (5.166666666666667, 1.431)]","[(6.833333333333333, 2.98), (10.633333333333333, 4.028), (7.733333333333333, 2.763), (6.866666666666666, 3.002), (0.0, 0.0)]"
