,real_time,static
0,"[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.8, 11.257), (4.0, 2.474), (8.316666666666666, 5.569), (9.983333333333333, 6.53)]","[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.8, 11.257), (4.0, 2.474), (8.316666666666666, 5.569), (9.983333333333333, 6.53)]"
1,"[(12.816666666666666, 10.252), (4.266666666666667, 1.517), (5.683333333333334, 2.346), (7.55, 3.056), (10.533333333333333, 6.853), (11.95, 7.682), (10.516666666666667, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]","[(12.983333333333333, 10.252), (4.266666666666667, 1.517), (5.683333333333334, 2.346), (7.55, 3.056), (10.566666666666666, 6.853), (11.983333333333333, 7.682), (10.516666666666667, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]"
2,"[(12.133333333333333, 8.439), (9.433333333333334, 5.625), (4.083333333333333, 1.619), (6.683333333333334, 4.336), (5.366666666666666, 3.123), (6.833333333333333, 6.274), (4.433333333333334, 4.29), (8.483333333333333, 4.517), (6.683333333333334, 3.71), (3.05, 2.204)]","[(12.583333333333334, 8.439), (12.366666666666667, 5.625), (4.616666666666666, 1.619), (9.616666666666667, 4.336), (5.366666666666666, 3.123), (6.766666666666667, 6.274), (4.433333333333334, 4.29), (8.483333333333333, 4.517), (7.05, 3.71), (3.05, 2.204)]"
3,"[(5.116666666666666, 2.01), (11.05, 4.063), (20.533333333333335, 8.86), (7.366666666666666, 3.081), (7.8, 2.808), (17.333333333333332, 7.605), (4.133333333333334, 1.826), (11.533333333333333, 3.747), (5.983333333333333, 2.28), (14.283333333333333, 6.635)]","[(5.1, 2.01), (11.033333333333333, 4.063), (20.483333333333334, 8.86), (7.35, 3.081), (7.816666666666666, 2.808), (17.333333333333332, 7.605), (4.133333333333334, 1.826), (11.866666666666667, 3.747), (5.983333333333333, 2.28), (14.266666666666667, 6.635)]"
4,"[(3.85, 1.506), (6.166666666666667, 2.033), (2.2666666666666666, 0.902), (4.566666666666666, 1.717), (6.383333333333334, 1.947), (4.35, 1.58), (7.716666666666667, 2.557), (3.966666666666667, 1.297), (4.216666666666667, 1.541), (3.5166666666666666, 1.459)]","[(3.85, 1.506), (6.166666666666667, 2.033), (2.2666666666666666, 0.902), (4.566666666666666, 1.717), (6.383333333333334, 1.947), (4.35, 1.58), (7.716666666666667, 2.557), (3.966666666666667, 1.297), (4.216666666666667, 1.541), (3.5166666666666666, 1.459)]"
5,"[(5.616666666666666, 2.143), (3.7, 1.223), (5.583333333333333, 1.675), (7.483333333333333, 5.69), (5.35, 1.898), (6.083333333333333, 1.846), (10.133333333333333, 6.295), (3.8, 1.393), (8.05, 6.726), (9.183333333333334, 6.454)]","[(5.65, 2.143), (3.7, 1.223), (5.583333333333333, 1.675), (7.483333333333333, 5.69), (5.35, 1.898), (6.15, 1.846), (10.133333333333333, 6.295), (3.8, 1.393), (8.05, 6.726), (9.183333333333334, 6.454)]"
6,"[(3.5833333333333335, 1.561), (2.683333333333333, 1.719), (9.15, 2.899), (7.266666666666667, 4.125), (7.8, 2.925), (11.933333333333334, 4.509), (11.316666666666666, 5.535), (9.716666666666667, 4.013), (8.266666666666667, 4.585), (10.166666666666666, 4.464)]","[(4.8, 1.561), (3.566666666666667, 1.719), (9.15, 2.899), (8.25, 4.125), (8.683333333333334, 2.925), (14.2, 4.509), (13.583333333333334, 5.535), (11.1, 4.013), (9.65, 4.585), (11.75, 4.464)]"
7,"[(7.466666666666667, 2.737), (9.0, 4.597), (4.966666666666667, 1.583), (11.4, 4.547), (4.666666666666667, 2.191), (5.983333333333333, 1.976), (6.6, 2.388), (6.45, 2.966), (6.066666666666666, 2.653), (11.333333333333334, 3.648)]","[(7.6, 2.737), (9.033333333333333, 4.597), (4.966666666666667, 1.583), (11.866666666666667, 4.547), (5.333333333333333, 2.191), (6.0, 1.976), (6.6, 2.388), (7.4, 2.966), (6.066666666666666, 2.653), (11.333333333333334, 3.648)]"
8,"[(4.383333333333334, 1.812), (4.383333333333334, 1.792), (3.3833333333333333, 2.131), (4.1, 1.775), (7.433333333333334, 3.038), (2.7, 1.906), (7.1, 3.021), (7.8, 3.214), (4.366666666666666, 1.855), (6.45, 3.38)]","[(4.366666666666666, 1.812), (4.383333333333334, 1.792), (3.3833333333333333, 2.131), (4.1, 1.775), (7.466666666666667, 3.038), (2.7, 1.906), (7.116666666666666, 3.021), (7.783333333333333, 3.214), (4.366666666666666, 1.855), (6.616666666666666, 3.38)]"
9,"[(6.333333333333333, 3.999), (9.983333333333333, 5.449), (3.816666666666667, 1.841), (6.333333333333333, 3.074), (6.483333333333333, 3.387), (3.783333333333333, 2.164), (7.2, 2.842), (9.916666666666666, 5.143), (6.116666666666666, 2.443), (4.366666666666666, 1.445)]","[(6.416666666666667, 3.999), (9.983333333333333, 5.449), (3.816666666666667, 1.841), (6.266666666666667, 3.074), (6.516666666666667, 3.387), (3.783333333333333, 2.164), (7.216666666666667, 2.842), (9.916666666666666, 5.143), (6.116666666666666, 2.443), (4.366666666666666, 1.445)]"
