,real_time,static
0,"[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.233333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.9, 11.257), (4.05, 2.474), (8.383333333333333, 5.569), (10.0, 6.53)]","[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.233333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.866666666666667, 11.257), (4.05, 2.474), (8.35, 5.569), (9.983333333333333, 6.53)]"
1,"[(12.7, 8.159), (4.0, 1.517), (5.833333333333333, 2.346), (7.6, 3.056), (10.933333333333334, 6.853), (12.366666666666667, 7.682), (10.5, 4.942), (4.583333333333333, 1.765), (8.8, 3.44), (9.95, 3.39)]","[(12.833333333333334, 8.159), (4.4, 1.517), (5.833333333333333, 2.346), (7.6, 3.056), (10.583333333333334, 6.853), (12.016666666666667, 7.682), (10.45, 4.942), (4.583333333333333, 1.765), (9.283333333333333, 3.44), (9.95, 3.39)]"
2,"[(17.383333333333333, 8.318), (13.1, 5.231), (4.733333333333333, 1.619), (7.433333333333334, 3.559), (6.533333333333333, 3.123), (11.233333333333333, 6.274), (6.333333333333333, 4.29), (8.75, 4.517), (7.9, 3.71), (4.066666666666666, 2.204)]","[(13.983333333333333, 8.636), (11.883333333333333, 5.231), (4.416666666666667, 1.619), (8.033333333333333, 3.575), (5.533333333333333, 3.123), (6.766666666666667, 6.274), (4.416666666666667, 4.29), (8.466666666666667, 4.517), (7.016666666666667, 3.71), (3.05, 2.204)]"
3,"[(5.133333333333334, 2.01), (10.783333333333333, 4.063), (20.566666666666666, 8.86), (7.216666666666667, 3.081), (7.716666666666667, 2.808), (17.966666666666665, 4.96), (3.9833333333333334, 1.826), (10.05, 3.824), (6.083333333333333, 2.28), (14.566666666666666, 6.635)]","[(5.116666666666666, 2.01), (10.866666666666667, 4.063), (20.666666666666668, 8.86), (7.233333333333333, 3.081), (7.65, 2.808), (18.183333333333334, 4.96), (4.016666666666667, 1.826), (12.166666666666666, 3.824), (5.883333333333334, 2.28), (13.816666666666666, 6.635)]"
4,"[(3.816666666666667, 1.506), (5.05, 2.036), (2.316666666666667, 0.902), (4.45, 1.717), (7.033333333333333, 1.947), (4.4, 1.58), (8.45, 2.557), (4.416666666666667, 1.297), (5.133333333333334, 1.541), (3.533333333333333, 1.459)]","[(3.8, 1.506), (4.983333333333333, 2.036), (2.316666666666667, 0.902), (4.616666666666666, 1.717), (6.483333333333333, 1.947), (4.35, 1.58), (7.9, 2.557), (4.666666666666667, 1.297), (4.283333333333333, 1.541), (3.533333333333333, 1.459)]"
5,"[(5.583333333333333, 2.143), (3.7666666666666666, 1.223), (5.133333333333334, 1.675), (8.35, 5.69), (5.466666666666667, 1.898), (5.283333333333333, 1.846), (10.016666666666667, 5.074), (3.716666666666667, 1.393), (9.333333333333334, 6.726), (10.666666666666666, 6.454)]","[(5.666666666666667, 2.143), (3.75, 1.223), (5.583333333333333, 1.675), (7.433333333333334, 5.69), (5.966666666666667, 1.898), (6.133333333333334, 1.846), (10.066666666666666, 5.074), (3.716666666666667, 1.393), (7.85, 6.726), (9.1, 6.454)]"
6,"[(4.666666666666667, 1.561), (4.183333333333334, 1.719), (9.066666666666666, 2.899), (8.483333333333333, 4.125), (9.35, 3.414), (14.85, 3.869), (13.65, 5.666), (12.233333333333333, 4.328), (11.083333333333334, 4.103), (9.783333333333333, 4.725)]","[(4.55, 1.561), (3.966666666666667, 1.719), (8.833333333333334, 2.899), (8.866666666666667, 4.125), (8.883333333333333, 3.414), (14.666666666666666, 3.869), (13.716666666666667, 5.422), (11.216666666666667, 4.328), (10.366666666666667, 4.103), (9.7, 4.725)]"
7,"[(10.633333333333333, 2.737), (10.283333333333333, 5.708), (4.283333333333333, 1.583), (13.133333333333333, 4.502), (5.583333333333333, 2.191), (6.4, 1.976), (6.733333333333333, 2.388), (8.183333333333334, 2.966), (7.416666666666667, 2.653), (13.6, 3.648)]","[(8.383333333333333, 2.901), (10.8, 4.843), (4.9, 1.583), (13.133333333333333, 4.502), (5.483333333333333, 2.191), (6.233333333333333, 1.976), (6.716666666666667, 2.388), (7.6, 2.966), (6.066666666666666, 2.653), (12.533333333333333, 3.648)]"
8,"[(5.25, 1.904), (4.266666666666667, 1.792), (4.133333333333334, 2.131), (4.65, 1.847), (7.266666666666667, 3.038), (3.1166666666666667, 1.906), (7.566666666666666, 3.021), (8.8, 3.214), (5.05, 1.855), (6.416666666666667, 2.194)]","[(4.816666666666666, 1.904), (4.383333333333334, 1.792), (3.8666666666666667, 2.131), (4.95, 1.847), (7.283333333333333, 3.038), (3.066666666666667, 1.906), (7.0, 3.021), (8.833333333333334, 3.214), (4.333333333333333, 1.855), (6.983333333333333, 2.194)]"
9,"[(6.3, 3.999), (10.433333333333334, 5.449), (3.816666666666667, 1.841), (6.483333333333333, 3.074), (7.133333333333334, 3.387), (3.7333333333333334, 2.164), (7.466666666666667, 2.842), (10.683333333333334, 5.143), (5.716666666666667, 2.536), (4.1, 1.445)]","[(6.533333333333333, 3.999), (10.133333333333333, 5.449), (3.816666666666667, 1.841), (6.45, 3.074), (6.35, 3.387), (3.716666666666667, 2.164), (7.233333333333333, 2.842), (10.2, 5.143), (7.3, 2.536), (4.316666666666666, 1.445)]"
10,"[(7.116666666666666, 3.626), (2.9833333333333334, 1.538), (8.133333333333333, 5.016), (7.05, 2.833), (11.15, 4.574), (8.733333333333333, 4.122), (13.0, 5.433), (6.166666666666667, 4.223), (10.233333333333333, 4.099), (15.033333333333333, 6.909)]","[(7.033333333333333, 3.626), (3.6, 1.538), (9.216666666666667, 5.016), (6.966666666666667, 2.833), (11.0, 5.053), (8.716666666666667, 4.122), (12.233333333333333, 5.433), (6.833333333333333, 4.223), (10.2, 4.099), (14.6, 6.909)]"
11,"[(3.4833333333333334, 1.118), (5.05, 1.784), (6.866666666666666, 2.285), (4.383333333333334, 1.323), (4.883333333333334, 1.637), (6.683333333333334, 2.138), (2.0833333333333335, 0.665), (3.216666666666667, 1.163), (5.0, 1.649), (6.916666666666667, 2.428)]","[(3.5, 1.118), (5.1, 1.784), (6.75, 2.285), (4.383333333333334, 1.323), (4.866666666666666, 1.637), (6.516666666666667, 2.138), (2.1166666666666667, 0.665), (3.066666666666667, 1.163), (5.033333333333333, 1.649), (6.9, 2.428)]"
12,"[(5.383333333333334, 2.339), (2.033333333333333, 1.067), (8.933333333333334, 2.931), (3.2333333333333334, 1.287), (3.283333333333333, 1.493), (4.566666666666666, 1.217), (2.9833333333333334, 1.255), (6.183333333333334, 2.372), (3.0166666666666666, 1.034), (5.716666666666667, 2.27)]","[(5.383333333333334, 2.339), (2.0166666666666666, 1.067), (8.916666666666666, 2.931), (3.2333333333333334, 1.287), (3.55, 1.493), (4.516666666666667, 1.217), (3.283333333333333, 1.255), (6.183333333333334, 2.372), (3.0166666666666666, 1.034), (5.916666666666667, 2.27)]"
13,"[(5.083333333333333, 2.176), (8.7, 3.24), (7.683333333333334, 3.524), (12.033333333333333, 5.29), (10.566666666666666, 4.105), (3.9166666666666665, 1.559), (10.333333333333334, 4.851), (9.416666666666666, 3.826), (9.85, 3.592), (9.4, 3.519)]","[(5.083333333333333, 2.176), (8.683333333333334, 3.24), (7.683333333333334, 3.524), (11.833333333333334, 5.29), (9.7, 4.105), (3.966666666666667, 1.559), (10.366666666666667, 4.851), (9.25, 3.826), (9.65, 3.592), (8.583333333333334, 3.519)]"
14,"[(5.233333333333333, 1.662), (6.566666666666666, 1.808), (6.383333333333334, 2.032), (9.9, 2.903), (8.333333333333334, 1.992), (3.433333333333333, 1.038), (11.7, 3.087), (12.033333333333333, 4.557), (3.35, 1.395), (11.95, 4.211)]","[(5.6, 1.662), (6.0, 1.808), (6.85, 2.032), (9.333333333333334, 2.903), (8.633333333333333, 1.992), (3.216666666666667, 1.062), (12.0, 3.087), (11.95, 4.557), (3.3833333333333333, 1.395), (11.8, 4.211)]"
15,"[(4.416666666666667, 2.123), (6.616666666666666, 3.021), (7.666666666666667, 2.196), (10.05, 3.487), (6.3, 2.754), (7.1, 1.702), (9.65, 2.896), (2.2, 1.029), (5.266666666666667, 2.365), (2.85, 1.366)]","[(4.533333333333333, 2.123), (6.6, 3.021), (7.616666666666666, 2.196), (9.983333333333333, 3.487), (6.3, 2.754), (7.066666666666666, 1.702), (9.616666666666667, 2.896), (2.2, 1.029), (5.233333333333333, 2.365), (2.816666666666667, 1.366)]"
16,"[(3.966666666666667, 1.339), (4.45, 1.532), (8.65, 2.974), (6.05, 2.202), (6.916666666666667, 1.816), (10.916666666666666, 3.084), (8.133333333333333, 2.312), (11.816666666666666, 3.934), (9.033333333333333, 3.162), (5.333333333333333, 1.444)]","[(5.383333333333334, 1.339), (4.6, 1.532), (8.716666666666667, 2.974), (5.75, 2.202), (7.366666666666666, 1.816), (11.25, 3.084), (8.283333333333333, 2.312), (12.2, 3.934), (9.233333333333333, 3.162), (5.433333333333334, 1.444)]"
17,"[(5.683333333333334, 2.655), (8.216666666666667, 2.686), (12.133333333333333, 4.831), (7.566666666666666, 3.222), (10.666666666666666, 3.991), (13.466666666666667, 5.812), (5.3, 3.177), (8.083333333333334, 3.562), (5.516666666666667, 2.66), (9.45, 4.297)]","[(5.533333333333333, 2.655), (8.216666666666667, 2.686), (12.133333333333333, 4.831), (7.433333333333334, 3.222), (10.666666666666666, 3.991), (13.45, 5.812), (5.816666666666666, 3.177), (8.883333333333333, 3.562), (6.133333333333334, 2.66), (9.45, 4.297)]"
18,"[(4.35, 2.332), (4.833333333333333, 1.884), (3.816666666666667, 1.282), (8.0, 3.224), (5.3, 2.093), (9.283333333333333, 3.625), (12.416666666666666, 4.813), (7.416666666666667, 2.681), (10.566666666666666, 3.869), (6.616666666666666, 2.511)]","[(4.333333333333333, 2.332), (4.833333333333333, 1.884), (3.816666666666667, 1.282), (7.95, 3.224), (5.3, 2.093), (9.283333333333333, 3.625), (12.416666666666666, 4.813), (7.416666666666667, 2.681), (10.566666666666666, 3.869), (6.633333333333334, 2.511)]"
19,"[(6.516666666666667, 3.597), (5.55, 1.655), (5.966666666666667, 1.975), (6.433333333333334, 2.54), (11.283333333333333, 6.088), (8.75, 5.877), (10.05, 6.886), (11.15, 4.468), (11.65, 3.823), (6.016666666666667, 2.755)]","[(6.4, 3.597), (5.55, 1.655), (5.966666666666667, 1.975), (6.633333333333334, 2.54), (11.233333333333333, 6.088), (8.7, 5.877), (9.983333333333333, 6.886), (11.15, 4.468), (11.65, 3.823), (6.283333333333333, 2.755)]"
