,real_time,static
0,"[(11.083333333333334, 9.954), (13.116666666666667, 9.098), (11.5, 8.818), (15.533333333333333, 11.574), (11.666666666666666, 6.874), (6.933333333333334, 4.912), (15.233333333333333, 11.257), (3.966666666666667, 2.474), (8.183333333333334, 5.569), (9.733333333333333, 6.53)]","[(11.083333333333334, 9.954), (13.116666666666667, 9.098), (11.5, 8.818), (15.533333333333333, 11.574), (11.7, 6.874), (6.966666666666667, 4.912), (15.216666666666667, 11.257), (3.966666666666667, 2.474), (8.183333333333334, 5.569), (9.733333333333333, 6.53)]"
1,"[(19.183333333333334, 10.252), (4.35, 1.517), (4.916666666666667, 2.346), (7.333333333333333, 3.056), (15.283333333333333, 6.603), (15.316666666666666, 7.682), (12.833333333333334, 5.739), (4.3, 1.765), (9.75, 3.425), (8.683333333333334, 3.39)]","[(14.05, 10.252), (4.35, 1.517), (4.916666666666667, 2.346), (7.333333333333333, 3.056), (11.866666666666667, 6.603), (11.533333333333333, 7.682), (12.983333333333333, 5.739), (4.3, 1.765), (9.75, 3.425), (8.666666666666666, 3.39)]"
2,"[(13.566666666666666, 8.59), (12.0, 5.231), (4.816666666666666, 1.619), (8.583333333333334, 4.149), (6.65, 3.466), (8.816666666666666, 6.274), (5.583333333333333, 4.29), (10.1, 4.517), (8.8, 6.153), (5.033333333333333, 2.453)]","[(12.6, 8.439), (11.016666666666667, 5.231), (4.666666666666667, 1.619), (8.25, 4.149), (6.5, 3.466), (6.766666666666667, 6.274), (4.416666666666667, 4.29), (9.933333333333334, 4.517), (9.416666666666666, 4.535), (3.7333333333333334, 2.453)]"
3,"[(5.116666666666666, 2.01), (10.783333333333333, 4.063), (21.633333333333333, 7.848), (7.1, 3.081), (7.166666666666667, 2.808), (17.833333333333332, 6.593), (3.4833333333333334, 1.826), (10.283333333333333, 3.824), (5.833333333333333, 2.165), (15.733333333333333, 6.635)]","[(5.1, 2.01), (10.9, 4.063), (20.8, 7.336), (7.133333333333334, 3.081), (7.4, 2.808), (17.216666666666665, 6.081), (3.533333333333333, 1.826), (11.95, 3.824), (6.216666666666667, 2.165), (15.9, 6.635)]"
4,"[(3.9, 1.503), (5.833333333333333, 2.033), (2.15, 0.902), (5.1, 1.662), (5.766666666666667, 1.947), (4.266666666666667, 1.58), (7.6, 2.548), (3.75, 1.332), (4.316666666666666, 1.57), (4.116666666666666, 1.45)]","[(3.9, 1.503), (5.8, 2.033), (2.15, 0.902), (4.233333333333333, 1.662), (5.85, 1.947), (4.35, 1.58), (7.683333333333334, 2.548), (4.266666666666667, 1.332), (4.95, 1.57), (4.116666666666666, 1.45)]"
5,"[(5.216666666666667, 2.005), (3.1, 1.389), (6.766666666666667, 1.931), (7.983333333333333, 5.69), (4.283333333333333, 1.913), (7.0, 1.846), (10.733333333333333, 6.295), (5.466666666666667, 1.393), (9.166666666666666, 6.726), (10.733333333333333, 6.454)]","[(5.383333333333334, 2.005), (3.1333333333333333, 1.389), (5.2, 1.668), (8.6, 5.69), (4.316666666666666, 1.913), (5.35, 1.846), (10.7, 6.295), (4.483333333333333, 1.393), (8.9, 6.726), (10.183333333333334, 6.454)]"
6,"[(4.75, 1.561), (4.666666666666667, 1.719), (10.466666666666667, 2.899), (8.7, 4.311), (9.866666666666667, 2.771), (15.55, 3.969), (13.85, 5.381), (11.166666666666666, 3.148), (8.633333333333333, 4.258), (9.65, 4.896)]","[(5.633333333333334, 1.561), (4.7, 1.719), (9.3, 3.029), (8.733333333333333, 4.311), (9.616666666666667, 2.771), (15.083333333333334, 3.969), (13.75, 5.381), (10.2, 3.867), (8.583333333333334, 4.258), (9.7, 4.896)]"
7,"[(7.15, 2.737), (11.216666666666667, 4.275), (4.383333333333334, 1.583), (13.766666666666667, 4.639), (5.4, 2.191), (6.933333333333334, 1.976), (6.833333333333333, 2.388), (9.033333333333333, 2.966), (6.666666666666667, 2.653), (12.516666666666667, 3.593)]","[(7.283333333333333, 2.737), (10.75, 4.275), (4.516666666666667, 1.583), (13.233333333333333, 4.639), (5.583333333333333, 2.191), (6.533333333333333, 1.976), (6.583333333333333, 2.388), (8.983333333333333, 2.966), (6.366666666666666, 2.653), (12.0, 3.593)]"
8,"[(4.2, 1.909), (5.066666666666666, 1.792), (3.2333333333333334, 2.131), (4.466666666666667, 1.775), (9.383333333333333, 3.038), (2.95, 1.906), (8.733333333333333, 3.021), (7.35, 3.926), (4.466666666666667, 1.855), (7.5, 2.194)]","[(4.183333333333334, 1.909), (5.2, 1.792), (3.15, 2.131), (4.55, 1.775), (8.5, 3.038), (2.7666666666666666, 1.906), (7.833333333333333, 3.021), (7.766666666666667, 3.926), (4.35, 1.855), (7.5, 2.194)]"
9,"[(6.366666666666666, 3.067), (10.5, 5.598), (3.1333333333333333, 1.841), (6.516666666666667, 3.074), (7.883333333333334, 3.387), (3.4833333333333334, 2.164), (7.166666666666667, 2.842), (10.916666666666666, 5.143), (6.6, 2.538), (4.75, 1.432)]","[(6.383333333333334, 3.067), (9.883333333333333, 5.598), (3.2333333333333334, 1.841), (6.366666666666666, 3.074), (6.3, 3.387), (3.5166666666666666, 2.164), (7.033333333333333, 2.842), (9.883333333333333, 5.143), (6.716666666666667, 2.538), (4.75, 1.432)]"
10,"[(8.016666666666667, 3.626), (5.7, 1.53), (10.7, 5.456), (7.033333333333333, 2.833), (11.35, 4.617), (9.283333333333333, 4.122), (11.816666666666666, 6.718), (8.166666666666666, 4.388), (10.883333333333333, 4.099), (15.783333333333333, 6.909)]","[(8.033333333333333, 3.626), (3.8333333333333335, 1.53), (10.95, 5.456), (6.783333333333333, 2.833), (10.833333333333334, 4.574), (8.866666666666667, 4.122), (12.116666666666667, 6.718), (7.883333333333334, 4.223), (9.616666666666667, 4.099), (14.5, 6.909)]"
11,"[(3.8, 1.15), (5.033333333333333, 1.784), (6.416666666666667, 2.285), (4.633333333333334, 1.355), (4.983333333333333, 1.637), (6.366666666666666, 2.138), (1.9666666666666666, 0.665), (3.4166666666666665, 1.163), (4.566666666666666, 1.649), (6.633333333333334, 2.428)]","[(3.8, 1.15), (5.033333333333333, 1.784), (6.416666666666667, 2.285), (4.633333333333334, 1.355), (5.033333333333333, 1.637), (6.416666666666667, 2.138), (2.033333333333333, 0.665), (3.4166666666666665, 1.163), (4.833333333333333, 1.649), (6.866666666666666, 2.428)]"
12,"[(6.25, 2.339), (2.1666666666666665, 1.067), (8.4, 3.407), (3.85, 1.287), (3.533333333333333, 1.493), (4.366666666666666, 1.217), (2.95, 1.255), (6.35, 2.373), (3.183333333333333, 1.034), (6.733333333333333, 2.183)]","[(5.166666666666667, 2.339), (2.1666666666666665, 1.067), (8.35, 3.407), (2.95, 1.287), (3.533333333333333, 1.493), (4.35, 1.217), (2.95, 1.255), (6.45, 2.373), (3.183333333333333, 1.034), (6.733333333333333, 2.183)]"
