,real_time,static
0,"[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.683333333333334, 11.257), (3.75, 2.474), (8.3, 5.569), (9.95, 6.53)]","[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.666666666666666, 11.257), (4.0, 2.474), (8.316666666666666, 5.569), (9.966666666666667, 6.53)]"
1,"[(12.216666666666667, 8.159), (4.05, 1.517), (5.466666666666667, 2.346), (7.55, 3.056), (9.583333333333334, 6.853), (11.0, 7.682), (9.95, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]","[(12.866666666666667, 8.159), (4.283333333333333, 1.517), (5.7, 2.346), (7.55, 3.056), (9.8, 6.853), (11.216666666666667, 7.682), (10.316666666666666, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]"
2,"[(12.633333333333333, 7.38), (9.75, 5.231), (4.166666666666667, 1.619), (7.333333333333333, 3.575), (5.233333333333333, 3.123), (7.75, 6.519), (4.85, 4.29), (7.216666666666667, 4.517), (5.9, 3.71), (3.0166666666666666, 2.204)]","[(13.35, 8.318), (10.133333333333333, 5.231), (4.566666666666666, 1.619), (7.7, 3.575), (5.35, 3.123), (6.983333333333333, 6.519), (4.416666666666667, 4.29), (8.716666666666667, 4.517), (6.933333333333334, 3.71), (2.933333333333333, 2.204)]"
3,"[(5.116666666666666, 2.01), (10.866666666666667, 4.063), (20.683333333333334, 7.442), (7.3, 3.081), (7.65, 2.808), (17.133333333333333, 6.187), (3.9, 1.826), (9.6, 3.747), (5.083333333333333, 2.28), (13.916666666666666, 6.635)]","[(5.1, 2.01), (10.916666666666666, 4.063), (21.1, 7.442), (7.333333333333333, 3.081), (7.716666666666667, 2.808), (17.866666666666667, 6.187), (4.116666666666666, 1.826), (11.416666666666666, 3.747), (5.65, 2.28), (13.933333333333334, 6.635)]"
4,"[(3.3666666666666667, 1.506), (5.9, 2.033), (2.25, 0.902), (4.5, 1.717), (5.833333333333333, 1.947), (4.133333333333334, 1.58), (7.05, 2.557), (3.933333333333333, 1.297), (4.05, 1.541), (3.4833333333333334, 1.459)]","[(3.816666666666667, 1.506), (5.9, 2.033), (2.25, 0.902), (4.5, 1.717), (5.916666666666667, 1.947), (4.216666666666667, 1.58), (7.116666666666666, 2.557), (3.933333333333333, 1.297), (4.05, 1.541), (3.4833333333333334, 1.459)]"
5,"[(5.383333333333334, 2.005), (3.433333333333333, 1.223), (4.483333333333333, 1.675), (7.133333333333334, 5.69), (4.4, 1.898), (5.783333333333333, 1.846), (8.983333333333333, 6.295), (3.3333333333333335, 1.401), (7.283333333333333, 6.726), (8.766666666666667, 6.454)]","[(5.383333333333334, 2.005), (3.6333333333333333, 1.223), (5.466666666666667, 1.675), (7.133333333333334, 5.69), (5.433333333333334, 1.898), (6.083333333333333, 1.846), (9.2, 6.295), (4.316666666666666, 1.401), (7.466666666666667, 6.726), (8.7, 6.454)]"
6,"[(4.233333333333333, 1.561), (3.4, 1.719), (7.366666666666666, 3.029), (7.633333333333334, 4.311), (7.966666666666667, 2.925), (13.383333333333333, 4.123), (11.966666666666667, 5.331), (8.416666666666666, 3.232), (7.533333333333333, 4.258), (10.55, 4.464)]","[(4.233333333333333, 1.561), (3.283333333333333, 1.719), (8.633333333333333, 3.029), (8.083333333333334, 4.311), (7.9, 2.925), (13.416666666666666, 4.123), (11.866666666666667, 5.331), (8.25, 3.232), (7.983333333333333, 4.258), (11.1, 4.464)]"
7,"[(6.15, 2.737), (8.9, 4.597), (4.7, 1.583), (12.766666666666667, 4.694), (4.233333333333333, 2.191), (6.233333333333333, 1.976), (6.383333333333334, 2.388), (7.466666666666667, 2.966), (5.566666666666666, 2.653), (10.666666666666666, 3.648)]","[(7.216666666666667, 2.737), (8.9, 4.597), (4.8, 1.583), (13.233333333333333, 4.694), (5.016666666666667, 2.191), (6.133333333333334, 1.976), (6.383333333333334, 2.388), (7.55, 2.966), (5.916666666666667, 2.653), (11.566666666666666, 3.648)]"
8,"[(4.166666666666667, 1.812), (4.366666666666666, 1.792), (3.1333333333333333, 2.131), (4.083333333333333, 1.775), (7.3, 3.038), (2.65, 1.906), (7.016666666666667, 3.021), (7.633333333333334, 3.214), (4.316666666666666, 1.855), (6.4, 3.38)]","[(4.2, 1.812), (4.366666666666666, 1.792), (3.15, 2.131), (4.083333333333333, 1.775), (7.3, 3.038), (2.6333333333333333, 1.906), (7.016666666666667, 3.021), (8.283333333333333, 3.214), (4.316666666666666, 1.855), (6.4, 3.38)]"
9,"[(6.083333333333333, 3.999), (9.666666666666666, 5.449), (3.816666666666667, 1.841), (6.083333333333333, 3.074), (6.116666666666666, 3.387), (3.75, 2.164), (7.166666666666667, 2.842), (10.0, 5.143), (7.916666666666667, 2.346), (4.25, 1.445)]","[(6.266666666666667, 3.999), (9.783333333333333, 5.449), (3.816666666666667, 1.841), (6.233333333333333, 3.074), (6.3, 3.387), (3.7333333333333334, 2.164), (7.183333333333334, 2.842), (9.95, 5.143), (7.5, 2.346), (4.35, 1.445)]"
10,"[(6.75, 3.626), (3.4166666666666665, 1.53), (8.9, 5.456), (6.716666666666667, 2.833), (10.0, 4.617), (8.666666666666666, 4.122), (11.283333333333333, 6.718), (7.15, 4.223), (9.233333333333333, 4.099), (12.95, 6.909)]","[(7.416666666666667, 3.626), (3.533333333333333, 1.53), (9.9, 5.456), (6.7, 2.833), (10.283333333333333, 4.617), (8.666666666666666, 4.122), (11.3, 6.718), (7.25, 4.223), (9.583333333333334, 4.099), (13.833333333333334, 6.909)]"
