,real_time,static
0,"[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.733333333333333, 11.257), (3.716666666666667, 2.474), (8.25, 5.569), (9.966666666666667, 6.53)]","[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.733333333333333, 11.257), (4.0, 2.474), (8.316666666666666, 5.569), (9.966666666666667, 6.53)]"
1,"[(12.566666666666666, 8.159), (4.2, 1.517), (5.616666666666666, 2.346), (7.55, 3.056), (10.433333333333334, 6.853), (11.85, 7.682), (10.433333333333334, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]","[(12.566666666666666, 8.159), (4.283333333333333, 1.517), (5.7, 2.346), (7.55, 3.056), (10.416666666666666, 6.853), (11.833333333333334, 7.682), (10.433333333333334, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]"
2,"[(12.766666666666667, 8.439), (9.716666666666667, 5.231), (3.7333333333333334, 1.619), (7.266666666666667, 3.575), (5.283333333333333, 3.123), (8.266666666666667, 6.274), (4.75, 4.29), (7.166666666666667, 4.517), (6.066666666666666, 3.71), (2.9, 2.204)]","[(12.2, 8.439), (10.766666666666667, 5.231), (4.3, 1.619), (7.883333333333334, 3.575), (5.266666666666667, 3.123), (6.716666666666667, 6.274), (4.416666666666667, 4.29), (8.416666666666666, 4.517), (6.966666666666667, 3.71), (2.966666666666667, 2.204)]"
3,"[(5.116666666666666, 2.01), (11.0, 4.063), (21.383333333333333, 7.442), (7.366666666666666, 3.081), (8.116666666666667, 2.808), (17.866666666666667, 4.827), (4.133333333333334, 1.826), (11.2, 3.209), (6.0, 2.165), (14.266666666666667, 6.635)]","[(5.1, 2.01), (10.983333333333333, 4.063), (21.366666666666667, 7.442), (7.35, 3.081), (7.766666666666667, 2.808), (17.25, 4.96), (4.133333333333334, 1.826), (11.266666666666667, 3.209), (6.05, 2.165), (14.333333333333334, 6.635)]"
4,"[(3.8666666666666667, 1.506), (6.016666666666667, 2.033), (2.2666666666666666, 0.902), (4.35, 1.717), (6.283333333333333, 1.947), (4.35, 1.58), (7.616666666666666, 2.557), (3.95, 1.297), (4.216666666666667, 1.541), (3.4166666666666665, 1.459)]","[(3.85, 1.506), (6.116666666666666, 2.033), (2.2666666666666666, 0.902), (4.566666666666666, 1.717), (6.3, 1.947), (4.35, 1.58), (7.616666666666666, 2.557), (3.95, 1.297), (4.183333333333334, 1.541), (3.533333333333333, 1.459)]"
5,"[(5.45, 2.005), (3.7, 1.223), (5.5, 1.675), (6.85, 5.69), (5.583333333333333, 1.898), (4.766666666666667, 1.846), (9.5, 6.295), (3.8, 1.393), (7.116666666666666, 6.726), (6.7, 6.454)]","[(5.45, 2.005), (3.7, 1.223), (5.5, 1.675), (7.2, 5.69), (5.583333333333333, 1.898), (6.05, 1.846), (9.583333333333334, 6.295), (3.8, 1.393), (7.6, 6.726), (8.666666666666666, 6.454)]"
6,"[(4.45, 1.561), (3.316666666666667, 1.719), (7.983333333333333, 3.285), (7.016666666666667, 4.125), (6.966666666666667, 2.925), (11.766666666666667, 4.509), (11.083333333333334, 5.535), (8.75, 4.013), (8.0, 4.585), (10.55, 4.464)]","[(4.833333333333333, 1.561), (3.3, 1.719), (8.916666666666666, 3.285), (7.333333333333333, 4.125), (7.616666666666666, 2.925), (13.083333333333334, 4.509), (12.483333333333333, 5.535), (10.75, 4.013), (9.45, 4.585), (11.3, 4.464)]"
7,"[(6.45, 2.737), (9.1, 4.597), (4.283333333333333, 1.583), (11.966666666666667, 4.53), (5.516666666666667, 2.191), (5.633333333333334, 1.976), (6.216666666666667, 2.388), (7.416666666666667, 2.966), (5.966666666666667, 2.653), (11.15, 3.648)]","[(7.516666666666667, 2.737), (9.116666666666667, 4.597), (4.95, 1.583), (12.95, 4.53), (5.216666666666667, 2.191), (5.95, 1.976), (6.533333333333333, 2.388), (7.6, 2.966), (6.133333333333334, 2.653), (11.466666666666667, 3.648)]"
8,"[(4.0, 1.812), (4.4, 1.792), (2.8, 2.131), (4.133333333333334, 1.775), (7.383333333333334, 3.038), (2.5833333333333335, 1.906), (7.083333333333333, 3.021), (7.15, 3.926), (4.316666666666666, 1.855), (6.366666666666666, 3.38)]","[(4.366666666666666, 1.812), (4.4, 1.792), (3.183333333333333, 2.131), (4.133333333333334, 1.775), (7.383333333333334, 3.038), (2.55, 1.906), (7.083333333333333, 3.021), (7.6, 3.926), (4.316666666666666, 1.855), (6.416666666666667, 3.38)]"
9,"[(5.716666666666667, 3.999), (9.683333333333334, 5.449), (3.816666666666667, 1.841), (6.2, 3.074), (6.45, 3.387), (3.7333333333333334, 2.164), (7.133333333333334, 2.842), (9.966666666666667, 5.143), (7.7, 2.346), (5.233333333333333, 1.431)]","[(6.133333333333334, 3.999), (9.816666666666666, 5.449), (3.816666666666667, 1.841), (6.166666666666667, 3.074), (6.45, 3.387), (3.75, 2.164), (7.133333333333334, 2.842), (9.966666666666667, 5.143), (7.7, 2.346), (5.95, 1.431)]"
10,"[(6.616666666666666, 3.626), (3.4833333333333334, 1.556), (9.5, 5.024), (6.783333333333333, 2.833), (10.133333333333333, 4.574), (8.316666666666666, 4.122), (11.166666666666666, 6.718), (7.15, 4.223), (9.883333333333333, 4.099), (14.1, 6.909)]","[(7.3, 3.626), (3.4833333333333334, 1.556), (9.95, 5.456), (6.783333333333333, 2.833), (10.583333333333334, 4.574), (8.8, 4.122), (11.416666666666666, 6.718), (7.15, 4.223), (9.866666666666667, 4.099), (14.266666666666667, 6.909)]"
11,"[(3.533333333333333, 1.118), (4.916666666666667, 1.784), (6.633333333333334, 2.285), (4.35, 1.323), (4.9, 1.614), (6.616666666666666, 2.115), (2.1666666666666665, 0.665), (3.0833333333333335, 1.163), (4.383333333333334, 1.649), (6.2, 2.428)]","[(3.966666666666667, 1.285), (4.95, 1.784), (6.633333333333334, 2.285), (4.35, 1.323), (4.933333333333334, 1.614), (6.616666666666666, 2.115), (2.1666666666666665, 0.665), (3.05, 1.163), (4.383333333333334, 1.649), (6.233333333333333, 2.428)]"
12,"[(4.1, 2.339), (2.05, 1.067), (6.866666666666666, 2.931), (2.6, 1.287), (3.5, 1.493), (3.1333333333333333, 1.217), (3.25, 1.255), (7.466666666666667, 2.678), (2.933333333333333, 1.034), (6.65, 2.183)]","[(5.233333333333333, 2.339), (2.05, 1.067), (8.533333333333333, 2.931), (3.25, 1.287), (3.5, 1.493), (4.2, 1.217), (3.25, 1.255), (8.283333333333333, 2.678), (2.933333333333333, 1.034), (6.65, 2.183)]"
13,"[(5.1, 2.176), (7.05, 3.24), (7.616666666666666, 3.524), (11.65, 5.29), (8.233333333333333, 4.105), (3.95, 1.559), (9.333333333333334, 4.352), (9.033333333333333, 3.826), (9.483333333333333, 3.592), (7.766666666666667, 3.519)]","[(5.1, 2.176), (7.283333333333333, 3.24), (7.616666666666666, 3.524), (11.633333333333333, 5.29), (8.233333333333333, 4.105), (3.95, 1.559), (9.616666666666667, 4.352), (9.033333333333333, 3.826), (9.483333333333333, 3.592), (8.333333333333334, 3.519)]"
14,"[(5.466666666666667, 1.659), (6.0, 1.816), (6.383333333333334, 2.029), (9.55, 2.911), (8.383333333333333, 1.992), (2.5, 1.062), (12.833333333333334, 4.059), (9.433333333333334, 3.381), (3.3833333333333333, 1.38), (11.216666666666667, 4.211)]","[(5.45, 1.659), (6.0, 1.816), (6.5, 2.029), (9.55, 2.911), (8.433333333333334, 1.992), (3.2, 1.062), (11.983333333333333, 3.087), (11.783333333333333, 3.381), (3.4166666666666665, 1.38), (12.566666666666666, 4.211)]"
15,"[(4.466666666666667, 2.123), (6.65, 2.984), (5.466666666666667, 2.196), (7.166666666666667, 3.487), (6.533333333333333, 2.393), (4.983333333333333, 1.702), (7.033333333333333, 2.896), (1.85, 1.029), (3.8, 2.365), (2.183333333333333, 1.366)]","[(4.5, 2.123), (8.733333333333333, 2.984), (7.466666666666667, 2.196), (9.9, 3.487), (8.35, 2.393), (6.916666666666667, 1.702), (9.516666666666667, 2.896), (2.2333333333333334, 1.029), (5.316666666666666, 2.365), (2.8666666666666667, 1.366)]"
16,"[(4.25, 1.339), (4.0, 1.532), (7.916666666666667, 2.974), (4.95, 2.202), (6.833333333333333, 1.816), (11.2, 3.084), (8.233333333333333, 2.312), (12.55, 3.934), (9.583333333333334, 3.162), (5.4, 1.444)]","[(5.2, 1.339), (4.5, 1.532), (9.2, 2.974), (6.233333333333333, 2.202), (6.983333333333333, 1.816), (11.816666666666666, 3.084), (8.85, 2.312), (12.6, 3.934), (9.633333333333333, 3.162), (5.4, 1.444)]"
17,"[(5.033333333333333, 2.345), (8.1, 2.686), (11.55, 4.831), (6.9, 3.222), (10.216666666666667, 4.333), (13.116666666666667, 5.916), (5.866666666666666, 3.177), (8.8, 3.529), (6.366666666666666, 2.627), (9.05, 4.297)]","[(5.066666666666666, 2.345), (8.1, 2.686), (11.733333333333333, 4.831), (7.45, 3.222), (10.216666666666667, 4.333), (13.116666666666667, 5.916), (5.866666666666666, 3.177), (8.95, 3.529), (6.4, 2.627), (9.066666666666666, 4.297)]"
18,"[(4.333333333333333, 2.332), (4.016666666666667, 1.884), (3.7333333333333334, 1.282), (7.666666666666667, 3.187), (5.25, 2.093), (9.283333333333333, 3.625), (12.9, 4.813), (7.416666666666667, 2.681), (11.033333333333333, 3.869), (6.95, 2.511)]","[(4.333333333333333, 2.332), (4.8, 1.884), (3.7333333333333334, 1.282), (10.0, 3.187), (5.3, 2.093), (9.283333333333333, 3.625), (12.9, 4.813), (7.416666666666667, 2.681), (11.033333333333333, 3.869), (6.95, 2.511)]"
19,"[(6.416666666666667, 3.597), (5.55, 1.655), (5.966666666666667, 1.975), (5.6, 2.54), (10.616666666666667, 6.088), (7.8, 5.877), (8.45, 6.886), (10.75, 4.468), (11.533333333333333, 3.823), (5.066666666666666, 2.755)]","[(6.416666666666667, 3.597), (5.55, 1.655), (5.966666666666667, 1.975), (6.916666666666667, 2.54), (11.133333333333333, 6.088), (8.8, 5.877), (10.383333333333333, 6.886), (11.066666666666666, 4.468), (11.933333333333334, 3.823), (6.583333333333333, 2.755)]"
20,"[(9.833333333333334, 4.946), (11.55, 5.175), (8.033333333333333, 3.583), (10.15, 4.288), (5.216666666666667, 2.938), (9.533333333333333, 4.954), (3.816666666666667, 2.051), (12.483333333333333, 6.522), (8.116666666666667, 4.478), (12.416666666666666, 5.067)]","[(9.833333333333334, 4.946), (11.55, 5.175), (8.033333333333333, 3.583), (10.15, 4.288), (5.216666666666667, 2.938), (9.733333333333333, 4.954), (3.816666666666667, 2.051), (12.483333333333333, 6.522), (8.116666666666667, 4.478), (12.416666666666666, 5.067)]"
21,"[(2.716666666666667, 2.173), (1.3333333333333333, 1.216), (3.8333333333333335, 3.407), (3.8, 1.516), (1.4, 1.129), (1.25, 1.233), (7.083333333333333, 3.833), (2.8833333333333333, 2.283), (4.916666666666667, 2.515), (8.55, 5.204)]","[(2.1666666666666665, 2.173), (1.3, 1.216), (3.433333333333333, 3.407), (4.216666666666667, 1.516), (1.2166666666666666, 1.129), (1.25, 1.233), (6.766666666666667, 3.833), (2.4, 2.283), (5.3, 2.515), (8.1, 5.204)]"
