,real_time,static
0,"[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.866666666666667, 11.257), (4.0, 2.474), (8.316666666666666, 5.569), (9.983333333333333, 6.53)]","[(10.35, 9.954), (12.133333333333333, 9.098), (10.766666666666667, 8.818), (15.133333333333333, 11.574), (11.65, 6.874), (7.183333333333334, 4.912), (15.8, 11.257), (4.0, 2.474), (8.316666666666666, 5.569), (9.983333333333333, 6.53)]"
1,"[(13.183333333333334, 8.159), (4.283333333333333, 1.517), (5.7, 2.346), (7.55, 3.056), (10.45, 6.853), (11.866666666666667, 7.682), (10.416666666666666, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.583333333333334, 3.39)]","[(13.183333333333334, 8.159), (4.283333333333333, 1.517), (5.7, 2.346), (7.55, 3.056), (10.45, 6.853), (11.866666666666667, 7.682), (10.416666666666666, 4.942), (4.566666666666666, 1.765), (9.233333333333333, 3.44), (9.583333333333334, 3.39)]"
2,"[(10.316666666666666, 8.439), (8.0, 5.231), (2.5166666666666666, 1.546), (5.883333333333334, 3.575), (5.633333333333334, 3.123), (7.983333333333333, 6.274), (4.416666666666667, 4.29), (7.883333333333334, 4.517), (6.666666666666667, 3.71), (2.6166666666666667, 2.204)]","[(13.65, 8.636), (11.0, 5.231), (4.55, 1.546), (7.933333333333334, 3.575), (5.383333333333334, 3.123), (6.766666666666667, 6.274), (4.416666666666667, 4.29), (8.633333333333333, 4.517), (7.066666666666666, 3.71), (2.966666666666667, 2.204)]"
3,"[(5.116666666666666, 2.01), (10.95, 4.063), (20.716666666666665, 8.86), (7.35, 3.081), (7.666666666666667, 2.808), (16.883333333333333, 7.605), (4.083333333333333, 1.826), (11.266666666666667, 3.209), (6.066666666666666, 2.28), (14.5, 6.635)]","[(5.1, 2.01), (11.033333333333333, 4.063), (20.716666666666665, 8.86), (7.35, 3.081), (7.816666666666666, 2.808), (17.483333333333334, 7.605), (4.133333333333334, 1.826), (11.266666666666667, 3.209), (6.066666666666666, 2.28), (14.5, 6.635)]"
4,"[(3.85, 1.506), (6.1, 2.033), (2.2666666666666666, 0.902), (4.566666666666666, 1.717), (6.3, 1.947), (4.333333333333333, 1.58), (7.616666666666666, 2.557), (3.966666666666667, 1.297), (4.216666666666667, 1.541), (3.5166666666666666, 1.459)]","[(3.85, 1.506), (6.1, 2.033), (2.2666666666666666, 0.902), (4.566666666666666, 1.717), (6.283333333333333, 1.947), (4.333333333333333, 1.58), (7.616666666666666, 2.557), (3.966666666666667, 1.297), (4.216666666666667, 1.541), (3.5166666666666666, 1.459)]"
5,"[(5.633333333333334, 2.143), (3.7, 1.223), (5.5, 1.675), (7.533333333333333, 5.69), (5.516666666666667, 1.898), (6.1, 1.846), (9.383333333333333, 6.295), (3.55, 1.393), (7.666666666666667, 6.726), (8.966666666666667, 6.454)]","[(5.633333333333334, 2.143), (3.7, 1.223), (5.5, 1.675), (7.3, 5.69), (5.516666666666667, 1.898), (6.133333333333334, 1.846), (9.55, 6.295), (3.5833333333333335, 1.393), (7.633333333333334, 6.726), (8.75, 6.454)]"
6,"[(4.433333333333334, 1.561), (3.15, 1.719), (8.383333333333333, 2.899), (7.033333333333333, 4.125), (5.716666666666667, 2.925), (12.166666666666666, 4.123), (9.65, 5.331), (9.933333333333334, 3.096), (9.333333333333334, 4.103), (9.65, 4.464)]","[(4.616666666666666, 1.561), (3.5166666666666666, 1.719), (8.75, 2.899), (8.05, 4.311), (8.316666666666666, 2.925), (13.45, 4.123), (12.533333333333333, 5.331), (10.983333333333333, 3.096), (10.383333333333333, 4.103), (10.583333333333334, 4.144)]"
7,"[(7.5, 2.737), (9.216666666666667, 4.597), (4.966666666666667, 1.583), (11.85, 4.539), (4.9, 2.191), (5.983333333333333, 1.976), (6.3, 2.388), (7.766666666666667, 2.966), (5.883333333333334, 2.653), (11.633333333333333, 3.648)]","[(7.466666666666667, 2.737), (9.2, 4.597), (4.966666666666667, 1.583), (12.0, 4.539), (4.9, 2.191), (5.966666666666667, 1.976), (6.533333333333333, 2.388), (7.75, 2.966), (5.883333333333334, 2.653), (11.6, 3.648)]"
8,"[(3.7333333333333334, 1.812), (4.416666666666667, 1.792), (2.683333333333333, 2.131), (4.15, 1.775), (7.166666666666667, 3.038), (2.5833333333333335, 1.906), (6.916666666666667, 3.021), (7.066666666666666, 3.926), (4.316666666666666, 1.855), (6.2, 3.38)]","[(4.25, 1.812), (4.45, 1.792), (3.1, 2.131), (4.183333333333334, 1.775), (7.35, 3.038), (2.5166666666666666, 1.906), (7.1, 3.021), (7.433333333333334, 3.926), (4.316666666666666, 1.855), (6.55, 3.38)]"
9,"[(6.183333333333334, 3.999), (9.716666666666667, 5.449), (3.816666666666667, 1.841), (6.3, 3.074), (5.95, 3.387), (3.7666666666666666, 2.164), (7.133333333333334, 2.842), (9.733333333333333, 5.143), (7.033333333333333, 2.346), (4.383333333333334, 1.445)]","[(6.283333333333333, 3.999), (9.816666666666666, 5.449), (3.816666666666667, 1.841), (6.3, 3.074), (6.45, 3.387), (3.7666666666666666, 2.164), (7.133333333333334, 2.842), (9.916666666666666, 5.143), (7.866666666666666, 2.346), (4.383333333333334, 1.445)]"
10,"[(7.616666666666666, 3.626), (3.533333333333333, 1.556), (9.533333333333333, 5.456), (6.833333333333333, 2.833), (10.466666666666667, 4.636), (8.783333333333333, 4.122), (11.3, 6.718), (7.083333333333333, 4.223), (9.9, 4.099), (14.55, 6.909)]","[(7.616666666666666, 3.626), (3.533333333333333, 1.556), (10.15, 5.456), (6.833333333333333, 2.833), (10.583333333333334, 4.636), (8.783333333333333, 4.122), (11.45, 6.718), (7.283333333333333, 4.382), (9.9, 4.099), (14.55, 6.909)]"
11,"[(3.533333333333333, 1.118), (5.1, 1.784), (6.85, 2.285), (4.383333333333334, 1.323), (4.866666666666666, 1.637), (6.616666666666666, 2.138), (2.1666666666666665, 0.665), (3.1166666666666667, 1.163), (4.816666666666666, 1.649), (6.633333333333334, 2.428)]","[(3.533333333333333, 1.118), (5.1, 1.784), (6.85, 2.285), (4.383333333333334, 1.323), (4.883333333333334, 1.637), (6.633333333333334, 2.138), (2.1666666666666665, 0.665), (3.1, 1.163), (4.8, 1.649), (6.633333333333334, 2.428)]"
