,real_time,static
0,"[(11.083333333333334, 9.954), (13.016666666666667, 9.098), (11.533333333333333, 8.818), (15.6, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.366666666666667, 11.257), (3.9833333333333334, 2.474), (8.266666666666667, 5.569), (9.883333333333333, 6.53)]","[(11.083333333333334, 9.954), (13.016666666666667, 9.098), (11.533333333333333, 8.818), (15.6, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.316666666666666, 11.257), (3.9833333333333334, 2.474), (8.266666666666667, 5.569), (9.883333333333333, 6.53)]"
1,"[(11.75, 10.252), (4.383333333333334, 1.517), (4.966666666666667, 2.346), (7.316666666666666, 3.056), (10.683333333333334, 6.853), (11.233333333333333, 7.682), (10.733333333333333, 4.942), (4.316666666666666, 1.765), (9.75, 3.425), (8.666666666666666, 3.39)]","[(12.066666666666666, 10.252), (4.383333333333334, 1.517), (4.966666666666667, 2.346), (7.316666666666666, 3.056), (10.766666666666667, 6.853), (11.35, 7.682), (11.333333333333334, 4.942), (4.316666666666666, 1.765), (9.75, 3.425), (8.666666666666666, 3.39)]"
2,"[(12.5, 8.439), (10.966666666666667, 5.231), (4.6, 1.619), (8.016666666666667, 4.149), (5.216666666666667, 3.123), (6.45, 6.274), (4.0, 4.29), (8.65, 4.517), (7.1, 3.71), (2.966666666666667, 2.204)]","[(12.516666666666667, 8.439), (10.916666666666666, 5.231), (4.616666666666666, 1.619), (8.016666666666667, 4.149), (5.466666666666667, 3.123), (6.8, 6.274), (4.416666666666667, 4.29), (8.8, 4.517), (7.25, 3.71), (2.966666666666667, 2.204)]"
3,"[(5.116666666666666, 2.01), (10.85, 4.063), (20.833333333333332, 7.336), (7.15, 3.081), (7.3, 2.808), (17.033333333333335, 6.081), (3.283333333333333, 1.826), (11.333333333333334, 3.209), (5.666666666666667, 2.28), (14.666666666666666, 6.635)]","[(5.1, 2.01), (10.833333333333334, 4.063), (20.816666666666666, 7.336), (7.15, 3.081), (7.3, 2.808), (17.3, 6.081), (3.6, 1.826), (11.333333333333334, 3.209), (6.166666666666667, 2.28), (14.666666666666666, 6.635)]"
4,"[(3.966666666666667, 1.503), (5.9, 2.033), (2.15, 0.902), (4.133333333333334, 1.662), (6.15, 1.947), (4.383333333333334, 1.58), (7.883333333333334, 2.548), (3.85, 1.294), (4.616666666666666, 1.532), (4.116666666666666, 1.45)]","[(3.966666666666667, 1.503), (5.916666666666667, 2.033), (2.15, 0.902), (4.25, 1.662), (6.15, 1.947), (4.383333333333334, 1.58), (7.95, 2.548), (4.15, 1.294), (4.85, 1.532), (4.116666666666666, 1.45)]"
5,"[(5.3, 2.005), (2.85, 1.35), (5.166666666666667, 1.675), (7.4, 5.69), (5.616666666666666, 1.898), (4.716666666666667, 1.846), (9.816666666666666, 6.295), (3.9166666666666665, 1.401), (7.483333333333333, 6.726), (8.883333333333333, 6.454)]","[(5.3, 2.005), (2.95, 1.35), (5.383333333333334, 1.675), (7.383333333333334, 5.69), (5.616666666666666, 1.898), (5.933333333333334, 1.846), (10.033333333333333, 6.295), (4.45, 1.401), (7.716666666666667, 6.726), (9.05, 6.454)]"
6,"[(5.016666666666667, 1.561), (3.8333333333333335, 1.719), (9.55, 2.899), (7.3, 4.125), (7.95, 2.771), (13.833333333333334, 3.969), (11.7, 5.177), (9.833333333333334, 3.26), (8.033333333333333, 4.286), (9.016666666666667, 4.725)]","[(5.083333333333333, 1.561), (4.033333333333333, 1.719), (9.55, 2.899), (7.7, 4.125), (9.016666666666667, 2.771), (14.933333333333334, 3.969), (12.65, 5.177), (10.466666666666667, 3.26), (9.083333333333334, 4.286), (9.533333333333333, 4.725)]"
7,"[(7.083333333333333, 2.737), (9.45, 4.597), (6.0, 1.583), (13.6, 4.639), (5.133333333333334, 2.191), (5.35, 1.976), (5.916666666666667, 2.441), (7.766666666666667, 2.966), (6.35, 2.653), (12.216666666666667, 3.593)]","[(7.666666666666667, 2.737), (9.483333333333333, 4.597), (4.716666666666667, 1.583), (13.766666666666667, 4.639), (5.3, 2.191), (5.35, 1.976), (5.883333333333334, 2.441), (7.766666666666667, 2.966), (6.35, 2.653), (12.216666666666667, 3.593)]"
8,"[(4.266666666666667, 1.909), (4.466666666666667, 1.792), (3.2, 2.131), (4.233333333333333, 1.775), (7.666666666666667, 3.038), (2.65, 1.906), (7.45, 3.021), (7.95, 3.926), (4.466666666666667, 1.855), (6.783333333333333, 3.38)]","[(4.366666666666666, 1.909), (4.466666666666667, 1.792), (3.15, 2.131), (4.233333333333333, 1.775), (7.683333333333334, 3.038), (2.6, 1.906), (7.45, 3.021), (7.916666666666667, 3.926), (4.466666666666667, 1.855), (6.916666666666667, 3.38)]"
9,"[(6.383333333333334, 3.067), (9.083333333333334, 5.449), (3.2666666666666666, 1.841), (6.1, 3.074), (6.35, 3.387), (3.6166666666666667, 2.164), (7.2, 2.842), (10.466666666666667, 5.143), (6.7, 2.539), (4.716666666666667, 1.429)]","[(6.4, 3.067), (9.85, 5.449), (3.2666666666666666, 1.841), (6.316666666666666, 3.074), (6.35, 3.387), (3.6166666666666667, 2.164), (7.2, 2.842), (10.483333333333333, 5.143), (6.7, 2.539), (4.716666666666667, 1.429)]"
