,real_time,static
0,"[(10.3, 9.954), (12.1, 9.098), (10.75, 8.818), (15.383333333333333, 11.574), (11.666666666666666, 6.874), (7.2, 4.912), (16.116666666666667, 11.257), (4.133333333333334, 2.474), (9.0, 5.569), (10.583333333333334, 6.53)]","[(10.3, 9.954), (12.1, 9.098), (10.75, 8.818), (15.383333333333333, 11.574), (11.666666666666666, 6.874), (7.2, 4.912), (16.133333333333333, 11.257), (4.166666666666667, 2.474), (8.583333333333334, 5.569), (10.333333333333334, 6.53)]"
1,"[(15.5, 10.252), (4.516666666666667, 1.517), (6.116666666666666, 2.346), (7.583333333333333, 3.056), (17.783333333333335, 6.603), (19.216666666666665, 7.432), (16.216666666666665, 4.942), (4.683333333333334, 1.765), (9.25, 3.44), (9.783333333333333, 3.39)]","[(14.866666666666667, 10.252), (4.383333333333334, 1.517), (5.816666666666666, 2.346), (7.55, 3.056), (13.25, 6.603), (14.766666666666667, 7.432), (14.65, 5.711), (4.516666666666667, 1.765), (9.25, 3.44), (9.783333333333333, 3.39)]"
2,"[(19.15, 8.762), (17.166666666666668, 5.73), (7.333333333333333, 2.109), (11.95, 4.593), (6.133333333333334, 3.123), (10.166666666666666, 6.274), (6.366666666666666, 4.29), (8.216666666666667, 4.517), (7.45, 3.71), (3.8, 2.204)]","[(15.4, 8.762), (15.05, 5.73), (6.75, 2.109), (9.816666666666666, 4.593), (5.833333333333333, 3.123), (6.783333333333333, 6.274), (4.416666666666667, 4.29), (9.166666666666666, 4.517), (7.8, 3.715), (3.05, 2.204)]"
3,"[(5.1, 2.01), (12.033333333333333, 4.301), (22.083333333333332, 7.409), (7.566666666666666, 3.081), (8.65, 3.046), (19.483333333333334, 6.154), (4.316666666666666, 1.826), (10.75, 3.209), (7.116666666666666, 2.446), (15.333333333333334, 6.635)]","[(5.083333333333333, 2.01), (11.8, 4.301), (21.416666666666668, 7.409), (7.516666666666667, 3.081), (8.633333333333333, 3.046), (18.266666666666666, 6.154), (4.283333333333333, 1.826), (11.9, 3.209), (7.333333333333333, 2.204), (14.383333333333333, 6.635)]"
4,"[(3.966666666666667, 1.506), (5.016666666666667, 2.036), (2.2666666666666666, 0.902), (4.25, 1.717), (7.533333333333333, 1.977), (4.233333333333333, 1.61), (7.233333333333333, 2.484), (4.466666666666667, 1.297), (4.616666666666666, 1.541), (3.55, 1.459)]","[(3.8833333333333333, 1.506), (4.916666666666667, 2.036), (2.2666666666666666, 0.902), (4.65, 1.717), (6.683333333333334, 1.977), (4.533333333333333, 1.61), (7.616666666666666, 2.484), (3.95, 1.297), (4.3, 1.541), (3.566666666666667, 1.459)]"
5,"[(6.233333333333333, 2.143), (2.783333333333333, 1.368), (6.25, 1.675), (9.2, 5.69), (4.433333333333334, 1.803), (6.55, 1.91), (11.383333333333333, 5.074), (4.383333333333334, 1.393), (12.833333333333334, 6.726), (13.166666666666666, 6.454)]","[(5.583333333333333, 2.005), (3.3833333333333333, 1.368), (5.733333333333333, 1.675), (8.9, 5.69), (4.566666666666666, 1.803), (6.65, 1.91), (10.866666666666667, 5.074), (3.7, 1.393), (9.85, 6.726), (10.95, 6.454)]"
6,"[(5.116666666666666, 1.561), (4.066666666666666, 1.719), (10.716666666666667, 3.338), (9.8, 4.132), (12.366666666666667, 2.771), (17.016666666666666, 4.678), (18.833333333333332, 5.177), (12.816666666666666, 4.328), (11.883333333333333, 4.103), (11.466666666666667, 4.685)]","[(5.316666666666666, 1.561), (3.85, 1.719), (10.25, 3.336), (10.15, 4.132), (9.266666666666667, 2.771), (15.316666666666666, 4.678), (15.25, 5.177), (11.783333333333333, 3.096), (10.983333333333333, 4.103), (10.216666666666667, 4.685)]"
7,"[(12.566666666666666, 2.825), (10.9, 4.597), (5.05, 1.583), (16.883333333333333, 6.257), (6.583333333333333, 2.191), (7.016666666666667, 1.976), (6.533333333333333, 2.388), (9.4, 3.706), (7.516666666666667, 2.653), (14.783333333333333, 4.552)]","[(10.683333333333334, 3.045), (10.766666666666667, 4.597), (5.25, 1.583), (16.333333333333332, 6.257), (7.3, 2.191), (6.666666666666667, 1.976), (6.916666666666667, 2.388), (8.816666666666666, 3.706), (6.4, 2.653), (13.833333333333334, 4.552)]"
8,"[(5.066666666666666, 1.812), (5.0, 1.792), (4.1, 2.131), (4.616666666666666, 1.775), (8.416666666666666, 3.038), (3.066666666666667, 1.906), (8.1, 3.021), (9.233333333333333, 3.214), (4.75, 1.855), (6.533333333333333, 2.747)]","[(4.983333333333333, 1.812), (4.433333333333334, 1.792), (4.05, 2.131), (4.166666666666667, 1.775), (7.5, 3.038), (3.033333333333333, 1.906), (7.233333333333333, 3.021), (9.3, 3.214), (4.783333333333333, 1.855), (6.533333333333333, 2.747)]"
9,"[(7.066666666666666, 3.067), (10.15, 5.449), (3.8, 1.841), (6.733333333333333, 3.074), (8.15, 3.387), (3.816666666666667, 2.164), (7.5, 2.842), (11.033333333333333, 5.143), (6.233333333333333, 2.446), (4.05, 1.445)]","[(6.966666666666667, 3.067), (10.566666666666666, 5.349), (3.8, 1.841), (6.433333333333334, 3.074), (7.05, 3.857), (3.65, 2.164), (7.266666666666667, 2.842), (10.716666666666667, 5.143), (6.2, 2.446), (4.366666666666666, 1.445)]"
