,real_time,static
0,"[(11.083333333333334, 9.954), (13.016666666666667, 9.098), (11.533333333333333, 8.818), (15.683333333333334, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.383333333333333, 11.257), (4.033333333333333, 2.474), (8.3, 5.569), (9.85, 6.53)]","[(11.083333333333334, 9.954), (13.016666666666667, 9.098), (11.533333333333333, 8.818), (15.683333333333334, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.383333333333333, 11.257), (4.033333333333333, 2.474), (8.3, 5.569), (9.85, 6.53)]"
1,"[(12.783333333333333, 10.252), (4.383333333333334, 1.517), (4.966666666666667, 2.346), (7.316666666666666, 3.056), (11.166666666666666, 6.853), (11.75, 7.682), (11.45, 4.942), (4.316666666666666, 1.765), (9.75, 3.425), (8.716666666666667, 3.39)]","[(12.783333333333333, 10.252), (4.383333333333334, 1.517), (4.966666666666667, 2.346), (7.316666666666666, 3.056), (11.166666666666666, 6.853), (11.75, 7.682), (11.45, 4.942), (4.316666666666666, 1.765), (9.75, 3.425), (8.716666666666667, 3.39)]"
2,"[(12.966666666666667, 8.439), (11.883333333333333, 5.231), (4.816666666666666, 1.619), (8.566666666666666, 4.149), (5.483333333333333, 3.123), (6.666666666666667, 6.274), (4.433333333333334, 4.29), (8.883333333333333, 4.517), (7.333333333333333, 3.71), (2.9833333333333334, 2.204)]","[(12.966666666666667, 8.439), (11.883333333333333, 5.231), (4.816666666666666, 1.619), (8.566666666666666, 4.149), (5.483333333333333, 3.123), (6.8, 6.274), (4.433333333333334, 4.29), (8.883333333333333, 4.517), (7.333333333333333, 3.71), (2.9833333333333334, 2.204)]"
3,"[(5.116666666666666, 2.01), (10.966666666666667, 4.063), (21.833333333333332, 7.848), (7.233333333333333, 3.081), (7.4, 2.808), (18.266666666666666, 6.593), (3.6666666666666665, 1.826), (11.616666666666667, 3.209), (6.3, 2.165), (14.883333333333333, 6.635)]","[(5.1, 2.01), (10.95, 4.063), (21.816666666666666, 7.848), (7.216666666666667, 3.081), (7.4, 2.808), (18.266666666666666, 6.593), (3.6666666666666665, 1.826), (11.616666666666667, 3.209), (6.3, 2.165), (14.883333333333333, 6.635)]"
4,"[(3.966666666666667, 1.503), (5.883333333333334, 2.033), (2.15, 0.902), (4.25, 1.662), (5.366666666666666, 1.947), (3.2, 1.58), (7.166666666666667, 2.548), (4.15, 1.294), (4.85, 1.532), (4.116666666666666, 1.45)]","[(3.966666666666667, 1.503), (5.883333333333334, 2.033), (2.15, 0.902), (4.25, 1.662), (6.15, 1.947), (4.383333333333334, 1.58), (7.95, 2.548), (4.15, 1.294), (4.85, 1.532), (4.116666666666666, 1.45)]"
5,"[(5.283333333333333, 2.005), (2.95, 1.35), (5.516666666666667, 1.675), (8.033333333333333, 5.69), (5.666666666666667, 1.898), (6.483333333333333, 1.846), (10.65, 6.295), (4.4, 1.393), (8.533333333333333, 6.726), (9.816666666666666, 6.454)]","[(5.283333333333333, 2.005), (2.95, 1.35), (5.516666666666667, 1.675), (8.033333333333333, 5.69), (5.666666666666667, 1.898), (6.483333333333333, 1.846), (10.65, 6.295), (4.4, 1.393), (8.533333333333333, 6.726), (9.816666666666666, 6.454)]"
6,"[(5.233333333333333, 1.561), (3.683333333333333, 1.719), (9.433333333333334, 2.899), (7.316666666666666, 4.125), (7.733333333333333, 2.771), (12.433333333333334, 3.969), (11.266666666666667, 5.381), (9.65, 3.232), (8.15, 4.258), (9.35, 4.725)]","[(5.233333333333333, 1.561), (4.5, 1.719), (9.633333333333333, 2.899), (8.85, 4.125), (10.05, 2.771), (15.633333333333333, 3.969), (14.4, 5.177), (10.383333333333333, 3.232), (8.483333333333333, 4.258), (9.866666666666667, 4.725)]"
7,"[(7.916666666666667, 2.737), (9.55, 4.597), (4.766666666666667, 1.583), (12.783333333333333, 4.484), (5.416666666666667, 2.191), (6.083333333333333, 1.976), (5.883333333333334, 2.441), (8.066666666666666, 2.966), (6.083333333333333, 2.653), (12.666666666666666, 3.593)]","[(7.916666666666667, 2.737), (9.55, 4.597), (4.766666666666667, 1.583), (12.783333333333333, 4.484), (5.416666666666667, 2.191), (6.083333333333333, 1.976), (5.883333333333334, 2.441), (8.066666666666666, 2.966), (6.45, 2.653), (12.666666666666666, 3.593)]"
8,"[(4.4, 1.909), (4.633333333333334, 1.792), (3.3833333333333333, 2.131), (4.3, 1.775), (7.833333333333333, 3.038), (2.75, 1.906), (7.5, 3.021), (7.383333333333334, 3.926), (4.45, 1.855), (7.316666666666666, 2.194)]","[(4.4, 1.909), (4.633333333333334, 1.792), (3.3833333333333333, 2.131), (4.3, 1.775), (7.833333333333333, 3.038), (2.75, 1.906), (7.5, 3.021), (8.216666666666667, 3.926), (4.45, 1.855), (7.3, 2.194)]"
9,"[(6.416666666666667, 3.067), (10.133333333333333, 5.598), (3.283333333333333, 1.841), (6.466666666666667, 3.074), (6.466666666666667, 3.387), (3.683333333333333, 2.164), (7.15, 2.842), (10.633333333333333, 5.143), (6.716666666666667, 2.539), (4.716666666666667, 1.429)]","[(6.416666666666667, 3.067), (10.133333333333333, 5.598), (3.283333333333333, 1.841), (6.466666666666667, 3.074), (6.466666666666667, 3.387), (3.683333333333333, 2.164), (7.15, 2.842), (10.633333333333333, 5.143), (6.716666666666667, 2.539), (4.716666666666667, 1.429)]"
