,real_time,static
0,"[(10.883333333333333, 9.954), (12.816666666666666, 9.098), (11.333333333333334, 8.818), (15.483333333333333, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.4, 11.257), (4.033333333333333, 2.474), (8.3, 5.569), (9.85, 6.53)]","[(10.883333333333333, 9.954), (12.816666666666666, 9.098), (11.333333333333334, 8.818), (15.483333333333333, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.4, 11.257), (4.033333333333333, 2.474), (8.3, 5.569), (9.85, 6.53)]"
1,"[(12.783333333333333, 10.252), (4.366666666666666, 1.517), (4.95, 2.346), (7.35, 3.056), (11.15, 6.853), (11.733333333333333, 7.682), (11.45, 4.942), (4.316666666666666, 1.765), (9.866666666666667, 3.425), (8.716666666666667, 3.39)]","[(12.8, 10.252), (4.383333333333334, 1.517), (4.966666666666667, 2.346), (7.35, 3.056), (11.15, 6.853), (11.733333333333333, 7.682), (11.45, 4.942), (4.316666666666666, 1.765), (9.866666666666667, 3.425), (8.716666666666667, 3.39)]"
2,"[(12.933333333333334, 8.439), (10.883333333333333, 5.231), (4.616666666666666, 1.619), (7.566666666666666, 4.149), (5.433333333333334, 3.123), (6.583333333333333, 6.274), (4.433333333333334, 4.29), (8.9, 4.517), (7.25, 3.71), (2.9833333333333334, 2.204)]","[(12.966666666666667, 8.439), (11.783333333333333, 5.231), (4.816666666666666, 1.619), (8.466666666666667, 4.149), (5.433333333333334, 3.123), (6.8, 6.274), (4.433333333333334, 4.29), (8.816666666666666, 4.517), (7.266666666666667, 3.71), (2.9833333333333334, 2.204)]"
3,"[(5.116666666666666, 2.01), (10.966666666666667, 4.063), (21.833333333333332, 7.848), (7.216666666666667, 3.081), (7.45, 2.808), (18.166666666666668, 6.593), (3.7, 1.826), (11.616666666666667, 3.209), (6.35, 2.28), (14.916666666666666, 6.635)]","[(5.1, 2.01), (10.95, 4.063), (21.816666666666666, 7.848), (7.2, 3.081), (7.45, 2.808), (18.316666666666666, 6.593), (3.7, 1.826), (11.616666666666667, 3.209), (6.35, 2.28), (14.916666666666666, 6.635)]"
4,"[(3.6166666666666667, 1.503), (5.166666666666667, 2.033), (1.9666666666666666, 0.902), (4.25, 1.662), (5.75, 1.947), (4.283333333333333, 1.58), (7.566666666666666, 2.548), (4.1, 1.294), (4.85, 1.532), (4.116666666666666, 1.45)]","[(3.966666666666667, 1.503), (5.7, 2.033), (2.15, 0.902), (4.25, 1.662), (5.75, 1.947), (4.35, 1.58), (7.566666666666666, 2.548), (4.15, 1.294), (4.85, 1.532), (4.116666666666666, 1.45)]"
5,"[(5.066666666666666, 2.476), (3.6666666666666665, 1.223), (4.533333333333333, 1.675), (7.933333333333334, 5.69), (5.666666666666667, 1.898), (5.283333333333333, 1.846), (10.533333333333333, 6.295), (2.95, 1.549), (8.3, 6.726), (9.166666666666666, 6.454)]","[(6.75, 2.476), (3.683333333333333, 1.223), (5.416666666666667, 1.675), (7.933333333333334, 5.69), (5.666666666666667, 1.898), (6.5, 1.846), (10.533333333333333, 6.295), (4.416666666666667, 1.549), (8.316666666666666, 6.726), (9.716666666666667, 6.454)]"
6,"[(4.866666666666666, 1.561), (4.433333333333334, 2.003), (8.983333333333333, 2.899), (7.816666666666666, 4.311), (9.9, 2.771), (15.55, 3.969), (13.233333333333333, 5.177), (11.866666666666667, 4.298), (8.316666666666666, 4.258), (9.866666666666667, 4.725)]","[(5.2, 1.561), (4.433333333333334, 1.719), (9.533333333333333, 2.899), (8.633333333333333, 4.311), (9.933333333333334, 2.771), (15.566666666666666, 3.969), (14.2, 5.177), (11.866666666666667, 4.298), (8.566666666666666, 4.258), (9.866666666666667, 4.725)]"
7,"[(7.6, 2.737), (9.55, 4.597), (4.683333333333334, 1.583), (11.866666666666667, 4.484), (4.166666666666667, 2.191), (6.066666666666666, 1.976), (5.766666666666667, 2.441), (8.066666666666666, 2.966), (6.233333333333333, 2.653), (11.716666666666667, 3.593)]","[(7.883333333333334, 2.737), (9.55, 4.597), (4.733333333333333, 1.583), (11.866666666666667, 4.484), (5.3, 2.191), (6.066666666666666, 1.976), (5.766666666666667, 2.441), (8.066666666666666, 2.966), (6.45, 2.653), (11.933333333333334, 3.593)]"
8,"[(3.65, 1.909), (4.633333333333334, 1.792), (2.65, 2.131), (4.2, 1.775), (7.833333333333333, 3.038), (2.7666666666666666, 1.906), (7.4, 3.021), (6.766666666666667, 3.926), (4.35, 1.855), (7.216666666666667, 2.194)]","[(4.4, 1.909), (4.633333333333334, 1.792), (3.4, 2.131), (4.2, 1.775), (7.833333333333333, 3.038), (2.7666666666666666, 1.906), (7.4, 3.021), (8.316666666666666, 3.926), (4.35, 1.855), (7.2, 2.194)]"
9,"[(6.416666666666667, 3.067), (10.133333333333333, 5.598), (3.283333333333333, 1.841), (6.45, 3.074), (6.466666666666667, 3.387), (3.683333333333333, 2.164), (7.15, 2.842), (10.633333333333333, 5.143), (6.716666666666667, 2.539), (4.716666666666667, 1.429)]","[(6.416666666666667, 3.067), (10.133333333333333, 5.598), (3.283333333333333, 1.841), (6.45, 3.074), (6.466666666666667, 3.387), (3.683333333333333, 2.164), (7.15, 2.842), (10.633333333333333, 5.143), (6.716666666666667, 2.539), (4.716666666666667, 1.429)]"
