,0,1,2,3,4
0,"[(0.0, 0.0), (10.233333333333333, 9.954), (12.266666666666667, 9.098), (10.833333333333334, 8.818), (15.033333333333333, 11.574)]","[(10.75, 9.954), (0.0, 0.0), (12.0, 6.874), (7.283333333333333, 4.912), (15.383333333333333, 11.257)]","[(11.866666666666667, 9.745), (9.8, 6.527), (0.0, 0.0), (4.083333333333333, 2.474), (8.483333333333333, 5.569)]","[(9.966666666666667, 8.656), (7.15, 4.912), (6.833333333333333, 2.896), (0.18333333333333332, 0.123), (10.083333333333334, 6.53)]","[(14.666666666666666, 11.328), (15.116666666666667, 11.649), (6.05, 3.955), (9.55, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (13.233333333333333, 8.159), (3.3, 1.517), (5.25, 2.346), (7.683333333333334, 3.056)]","[(8.0, 6.039), (0.0, 0.0), (9.883333333333333, 6.854), (11.833333333333334, 7.683), (12.416666666666666, 4.943)]","[(3.566666666666667, 1.58), (15.716666666666667, 9.215), (2.1, 0.872), (4.466666666666667, 1.765), (9.016666666666667, 3.425)]","[(5.083333333333333, 2.395), (17.15, 10.446), (4.033333333333333, 1.751), (0.0, 0.0), (9.083333333333334, 3.39)]","[(8.966666666666667, 3.121), (16.716666666666665, 8.267), (9.666666666666666, 3.425), (11.983333333333333, 5.456), (6.95, 2.085)]"
2,"[(0.0, 0.0), (13.433333333333334, 8.439), (10.416666666666666, 5.231), (4.033333333333333, 1.546), (7.616666666666666, 3.575)]","[(13.216666666666667, 7.803), (0.26666666666666666, 0.141), (5.666666666666667, 3.123), (8.35, 6.274), (5.383333333333334, 4.29)]","[(12.366666666666667, 5.766), (6.016666666666667, 2.929), (0.0, 0.0), (9.266666666666667, 4.517), (7.316666666666666, 3.71)]","[(4.4, 1.54), (10.516666666666667, 7.007), (7.616666666666666, 4.28), (0.0, 0.0), (3.6666666666666665, 2.204)]","[(7.016666666666667, 3.696), (7.05, 5.202), (6.0, 3.311), (2.6166666666666667, 2.167), (0.26666666666666666, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.8, 2.01), (13.05, 4.063), (21.45, 7.512), (9.2, 3.081)]","[(7.0, 2.031), (0.1, 0.079), (9.183333333333334, 2.142), (16.366666666666667, 4.96), (5.05, 2.061)]","[(13.933333333333334, 4.095), (6.983333333333333, 2.188), (0.25, 0.072), (9.816666666666666, 3.209), (6.7, 2.06)]","[(22.466666666666665, 8.908), (17.5, 7.578), (10.483333333333333, 3.804), (0.08333333333333333, 0.081), (14.266666666666667, 6.694)]","[(8.966666666666667, 3.068), (4.0, 1.738), (6.733333333333333, 2.39), (15.466666666666667, 6.066), (0.0, 0.0)]"
4,"[(0.06666666666666667, 0.04), (4.683333333333334, 1.519), (5.733333333333333, 2.033), (2.1166666666666667, 0.902), (4.466666666666667, 1.717)]","[(4.1, 1.619), (0.0, 0.0), (5.85, 1.947), (4.033333333333333, 1.58), (7.566666666666666, 2.557)]","[(5.733333333333333, 2.164), (5.016666666666667, 1.846), (0.06666666666666667, 0.037), (4.616666666666666, 1.304), (4.716666666666667, 1.541)]","[(2.316666666666667, 1.043), (3.3666666666666667, 1.373), (3.5833333333333335, 1.13), (0.4166666666666667, 0.168), (3.5, 1.461)]","[(3.95, 1.644), (6.433333333333334, 2.501), (3.8666666666666667, 1.517), (4.016666666666667, 1.355), (0.0, 0.0)]"
5,"[(0.0, 0.0), (4.95, 2.005), (2.933333333333333, 1.341), (5.166666666666667, 1.675), (7.25, 5.69)]","[(2.783333333333333, 1.494), (0.0, 0.0), (4.116666666666666, 1.898), (4.833333333333333, 1.846), (9.333333333333334, 6.295)]","[(2.5166666666666666, 1.142), (6.366666666666666, 2.209), (0.0, 0.0), (3.3333333333333335, 1.393), (7.4, 6.726)]","[(5.516666666666667, 1.715), (4.583333333333333, 1.131), (4.55, 1.405), (0.16666666666666666, 0.089), (8.683333333333334, 6.454)]","[(4.85, 2.371), (5.783333333333333, 2.399), (3.9166666666666665, 2.061), (3.25, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.883333333333334, 1.561), (4.3, 2.003), (6.833333333333333, 2.899), (7.433333333333334, 4.311)]","[(7.35, 2.157), (0.9166666666666666, 0.255), (8.733333333333333, 2.925), (11.983333333333333, 4.123), (12.283333333333333, 5.535)]","[(5.0, 1.721), (9.866666666666667, 3.283), (0.3, 0.092), (8.6, 3.148), (9.116666666666667, 4.103)]","[(9.416666666666666, 2.892), (14.416666666666666, 4.454), (9.9, 3.034), (0.0, 0.0), (9.583333333333334, 4.725)]","[(7.483333333333333, 3.802), (12.416666666666666, 5.364), (6.583333333333333, 3.361), (12.566666666666666, 5.657), (0.0, 0.0)]"
7,"[(0.0, 0.0), (8.966666666666667, 2.901), (9.333333333333334, 4.597), (5.1, 1.583), (12.216666666666667, 4.542)]","[(7.683333333333334, 3.141), (0.0, 0.0), (4.883333333333334, 2.191), (5.733333333333333, 1.976), (6.266666666666667, 2.388)]","[(6.9, 3.745), (8.666666666666666, 2.755), (0.0, 0.0), (7.633333333333334, 2.966), (6.316666666666666, 2.653)]","[(6.683333333333334, 2.002), (7.183333333333334, 1.855), (9.9, 3.229), (0.0, 0.0), (12.616666666666667, 3.643)]","[(12.883333333333333, 4.927), (6.75, 2.976), (8.716666666666667, 3.151), (11.9, 4.792), (0.15, 0.032)]"
8,"[(0.0, 0.0), (3.966666666666667, 1.904), (4.3, 1.792), (2.9, 2.131), (4.566666666666666, 1.775)]","[(2.8833333333333333, 1.245), (0.2, 0.198), (7.383333333333334, 3.038), (2.6, 1.906), (7.316666666666666, 3.021)]","[(4.0, 1.823), (8.116666666666667, 3.699), (0.5, 0.147), (7.0, 3.926), (4.333333333333333, 1.855)]","[(2.5, 1.604), (5.2, 1.83), (6.883333333333334, 3.397), (0.0, 0.0), (6.683333333333334, 2.194)]","[(4.066666666666666, 1.804), (8.166666666666666, 3.68), (3.966666666666667, 1.763), (7.05, 3.907), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.433333333333334, 3.999), (9.483333333333333, 5.598), (3.4166666666666665, 1.841), (6.3, 3.074)]","[(4.866666666666666, 2.844), (0.0, 0.0), (5.366666666666666, 3.387), (3.533333333333333, 2.164), (6.95, 2.842)]","[(10.216666666666667, 4.976), (9.366666666666667, 4.272), (0.0, 0.0), (9.916666666666666, 5.143), (5.85, 2.367)]","[(3.3333333333333335, 1.38), (5.95, 2.687), (6.366666666666666, 3.678), (0.36666666666666664, 0.136), (4.566666666666666, 1.452)]","[(5.55, 2.673), (10.6, 4.028), (7.15, 2.708), (5.25, 2.695), (0.0, 0.0)]"
10,"[(0.0, 0.0), (7.216666666666667, 3.626), (3.5833333333333335, 1.538), (9.8, 5.456), (6.666666666666667, 2.833)]","[(9.533333333333333, 4.275), (0.31666666666666665, 0.214), (10.8, 4.618), (8.7, 4.122), (11.8, 6.718)]","[(5.25, 2.191), (10.433333333333334, 4.892), (0.0, 0.0), (7.55, 4.232), (9.9, 4.099)]","[(10.466666666666667, 5.566), (9.1, 4.975), (7.583333333333333, 4.533), (0.6333333333333333, 0.454), (14.383333333333333, 6.909)]","[(7.55, 3.432), (10.716666666666667, 6.127), (9.283333333333333, 4.192), (14.7, 7.672), (0.0, 0.0)]"
11,"[(0.016666666666666666, 0.021), (2.7, 1.118), (3.85, 1.779), (5.166666666666667, 2.28), (3.7666666666666666, 1.323)]","[(2.3333333333333335, 1.016), (0.13333333333333333, 0.069), (3.4833333333333334, 1.441), (4.733333333333333, 1.942), (1.9166666666666667, 0.665)]","[(3.9833333333333334, 1.799), (2.3833333333333333, 1.276), (0.0, 0.0), (2.3666666666666667, 1.163), (3.283333333333333, 1.649)]","[(6.066666666666666, 2.578), (4.483333333333333, 2.055), (2.0166666666666666, 0.778), (0.0, 0.0), (5.416666666666667, 2.428)]","[(3.566666666666667, 1.348), (1.1833333333333333, 0.617), (4.3, 1.855), (5.683333333333334, 2.356), (0.0, 0.0)]"
12,"[(0.0, 0.0), (5.166666666666667, 2.339), (2.283333333333333, 1.067), (7.083333333333333, 2.931), (3.1333333333333333, 1.287)]","[(3.5166666666666666, 2.352), (0.0, 0.0), (3.3833333333333333, 1.493), (2.6, 1.217), (3.35, 1.255)]","[(2.9, 1.135), (5.583333333333333, 2.086), (0.21666666666666667, 0.073), (7.566666666666666, 2.678), (3.5166666666666666, 1.034)]","[(6.283333333333333, 3.121), (4.05, 1.491), (6.5, 2.421), (0.0, 0.0), (6.366666666666666, 2.183)]","[(3.183333333333333, 1.322), (4.383333333333334, 1.973), (2.716666666666667, 1.018), (6.3, 2.565), (0.5666666666666667, 0.121)]"
13,"[(0.0, 0.0), (4.616666666666666, 2.426), (7.783333333333333, 3.24), (7.733333333333333, 3.469), (12.766666666666667, 5.235)]","[(4.533333333333333, 2.168), (0.25, 0.253), (8.433333333333334, 4.105), (4.4, 1.559), (9.9, 4.352)]","[(4.75, 2.13), (8.283333333333333, 3.622), (0.0, 0.0), (8.616666666666667, 3.684), (9.616666666666667, 3.45)]","[(7.766666666666667, 3.508), (3.6333333333333333, 1.556), (8.183333333333334, 3.722), (0.0, 0.0), (8.3, 3.519)]","[(10.733333333333333, 5.142), (7.933333333333334, 4.18), (6.766666666666667, 3.246), (7.216666666666667, 3.35), (0.0, 0.0)]"
