,0,1,2,3,4
0,"[(0.0, 0.0), (12.583333333333334, 9.954), (13.266666666666667, 9.098), (11.7, 8.818), (18.183333333333334, 11.574)]","[(12.4, 9.954), (1.2666666666666666, 0.826), (14.25, 6.874), (8.933333333333334, 4.912), (15.566666666666666, 15.169)]","[(12.35, 9.745), (12.266666666666667, 11.268), (0.0, 0.0), (3.966666666666667, 2.474), (8.783333333333333, 5.569)]","[(10.366666666666667, 8.668), (9.716666666666667, 4.932), (7.1, 2.854), (0.0, 0.0), (10.983333333333333, 6.53)]","[(15.1, 11.328), (17.05, 11.649), (5.65, 3.955), (9.016666666666667, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.1, 8.159), (3.533333333333333, 1.517), (5.416666666666667, 2.346), (9.733333333333333, 3.056)]","[(7.45, 6.039), (0.0, 0.0), (9.3, 6.854), (11.183333333333334, 7.683), (11.566666666666666, 4.943)]","[(3.95, 1.58), (13.983333333333333, 11.005), (2.75, 0.872), (4.616666666666666, 1.765), (10.966666666666667, 3.425)]","[(5.216666666666667, 2.395), (15.016666666666667, 11.82), (4.016666666666667, 1.751), (0.0, 0.0), (9.216666666666667, 3.39)]","[(8.666666666666666, 3.121), (14.383333333333333, 8.267), (9.716666666666667, 3.44), (13.15, 5.315), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (13.033333333333333, 8.439), (10.0, 5.231), (4.066666666666666, 1.619), (7.333333333333333, 3.575)]","[(11.65, 7.803), (0.23333333333333334, 0.141), (6.483333333333333, 3.123), (7.35, 6.274), (5.0, 4.29)]","[(10.833333333333334, 5.292), (5.4, 2.929), (0.0, 0.0), (8.066666666666666, 4.517), (6.583333333333333, 3.71)]","[(4.3, 1.54), (9.266666666666667, 7.007), (7.383333333333334, 4.28), (0.0, 0.0), (3.066666666666667, 2.204)]","[(7.2, 3.696), (6.733333333333333, 5.202), (6.35, 3.115), (2.9, 2.167), (0.35, 0.222)]"
3,"[(0.5166666666666667, 0.191), (4.85, 2.01), (9.9, 4.063), (17.383333333333333, 7.4), (6.65, 3.081)]","[(5.6, 2.031), (0.18333333333333332, 0.079), (6.133333333333334, 2.495), (13.3, 4.96), (3.216666666666667, 2.061)]","[(10.933333333333334, 3.951), (6.166666666666667, 2.178), (0.25, 0.072), (9.233333333333333, 3.209), (5.016666666666667, 2.165)]","[(19.783333333333335, 7.23), (14.166666666666666, 5.198), (8.7, 3.76), (0.0, 0.0), (12.616666666666667, 6.693)]","[(7.316666666666666, 3.068), (3.283333333333333, 2.125), (5.433333333333334, 2.545), (12.816666666666666, 6.054), (0.0, 0.0)]"
4,"[(0.1, 0.04), (4.266666666666667, 1.519), (5.466666666666667, 2.033), (2.0833333333333335, 0.902), (4.333333333333333, 1.709)]","[(3.6333333333333333, 1.564), (0.0, 0.0), (5.5, 1.947), (3.716666666666667, 1.58), (6.716666666666667, 2.549)]","[(4.583333333333333, 2.157), (4.25, 1.839), (0.08333333333333333, 0.037), (3.4166666666666665, 1.29), (3.55, 1.526)]","[(2.1, 1.043), (3.55, 1.373), (3.3666666666666667, 1.13), (0.35, 0.168), (3.0166666666666666, 1.437)]","[(3.3833333333333333, 1.574), (6.1, 2.491), (3.9, 1.507), (3.2, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (4.933333333333334, 2.005), (2.6166666666666667, 1.115), (4.566666666666666, 1.675), (7.133333333333334, 5.69)]","[(3.5833333333333335, 1.384), (0.2, 0.099), (4.6, 1.788), (4.933333333333334, 1.93), (9.1, 6.359)]","[(2.6166666666666667, 1.161), (5.816666666666666, 2.209), (0.0, 0.0), (3.25, 1.393), (7.233333333333333, 6.726)]","[(4.933333333333334, 1.715), (4.033333333333333, 1.131), (3.8333333333333335, 1.405), (0.0, 0.0), (7.35, 6.454)]","[(3.9166666666666665, 2.371), (4.833333333333333, 2.399), (2.7666666666666666, 2.061), (2.5166666666666666, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.083333333333333, 1.561), (3.2666666666666666, 1.719), (7.366666666666666, 3.285), (6.733333333333333, 4.125)]","[(7.366666666666666, 2.074), (0.6166666666666667, 0.255), (7.316666666666666, 2.771), (11.6, 3.969), (10.916666666666666, 5.177)]","[(5.55, 1.721), (9.666666666666666, 3.283), (0.3, 0.092), (8.866666666666667, 3.096), (7.516666666666667, 4.239)]","[(7.0, 2.911), (11.15, 4.473), (7.25, 3.221), (0.16666666666666666, 0.059), (9.45, 4.464)]","[(6.533333333333333, 3.802), (10.65, 5.364), (5.833333333333333, 3.361), (12.333333333333334, 5.071), (0.0, 0.0)]"
7,"[(0.0, 0.0), (6.9, 2.737), (8.316666666666666, 4.597), (4.616666666666666, 1.583), (10.916666666666666, 4.534)]","[(7.633333333333334, 3.141), (0.0, 0.0), (3.933333333333333, 2.191), (5.366666666666666, 1.976), (5.683333333333334, 2.441)]","[(6.183333333333334, 3.745), (7.05, 3.478), (0.0, 0.0), (5.95, 2.966), (6.183333333333334, 2.653)]","[(4.683333333333334, 1.765), (5.733333333333333, 1.855), (8.233333333333333, 3.229), (0.0, 0.0), (10.9, 3.643)]","[(10.283333333333333, 4.778), (7.383333333333334, 2.701), (6.966666666666667, 3.037), (10.466666666666667, 3.999), (0.11666666666666667, 0.032)]"
8,"[(0.0, 0.0), (3.9166666666666665, 1.904), (3.5166666666666666, 1.792), (2.6666666666666665, 2.131), (3.75, 1.775)]","[(2.6333333333333333, 1.245), (0.2, 0.198), (6.283333333333333, 3.038), (2.283333333333333, 1.906), (6.516666666666667, 3.021)]","[(3.7, 1.823), (7.433333333333334, 3.607), (0.45, 0.147), (6.233333333333333, 3.926), (4.15, 1.855)]","[(2.183333333333333, 1.604), (4.583333333333333, 1.83), (5.833333333333333, 3.397), (0.0, 0.0), (5.666666666666667, 2.194)]","[(3.85, 1.731), (7.583333333333333, 3.515), (3.783333333333333, 1.69), (6.283333333333333, 2.618), (0.0, 0.0)]"
9,"[(1.05, 0.312), (5.333333333333333, 3.999), (9.166666666666666, 5.449), (3.216666666666667, 1.783), (6.166666666666667, 3.074)]","[(4.6, 2.844), (0.0, 0.0), (6.183333333333334, 3.387), (3.716666666666667, 2.164), (6.833333333333333, 2.842)]","[(10.033333333333333, 4.976), (8.083333333333334, 4.272), (0.0, 0.0), (9.616666666666667, 5.143), (6.516666666666667, 2.363)]","[(3.2666666666666666, 1.38), (5.3, 3.226), (5.983333333333333, 3.743), (0.26666666666666666, 0.136), (5.033333333333333, 1.431)]","[(5.583333333333333, 2.98), (9.65, 4.426), (5.633333333333334, 2.708), (5.716666666666667, 3.002), (0.0, 0.0)]"
10,"[(0.0, 0.0), (6.183333333333334, 3.626), (3.283333333333333, 1.538), (7.883333333333334, 4.677), (6.95, 2.833)]","[(8.116666666666667, 4.275), (0.35, 0.214), (9.2, 4.599), (8.0, 4.122), (11.383333333333333, 6.718)]","[(4.783333333333333, 2.191), (8.883333333333333, 4.154), (0.0, 0.0), (6.55, 4.409), (9.95, 4.099)]","[(9.416666666666666, 5.566), (7.95, 4.975), (7.0, 4.533), (0.6, 0.454), (13.166666666666666, 6.909)]","[(7.616666666666666, 3.432), (9.8, 6.127), (9.516666666666667, 4.192), (13.25, 6.893), (0.0, 0.0)]"
11,"[(0.06666666666666667, 0.021), (3.7, 1.118), (5.85, 1.816), (7.266666666666667, 2.135), (4.033333333333333, 1.323)]","[(2.4166666666666665, 0.902), (0.35, 0.069), (5.083333333333333, 1.637), (5.916666666666667, 2.138), (2.1666666666666665, 0.665)]","[(6.016666666666667, 2.033), (4.383333333333334, 1.276), (0.0, 0.0), (2.6, 1.163), (4.733333333333333, 1.649)]","[(6.833333333333333, 2.374), (6.383333333333334, 2.055), (2.0, 0.778), (0.0, 0.0), (6.733333333333333, 2.428)]","[(3.316666666666667, 1.337), (1.65, 0.606), (5.116666666666666, 1.855), (5.95, 2.356), (0.0, 0.0)]"
12,"[(0.0, 0.0), (4.933333333333334, 2.339), (2.5166666666666666, 1.133), (8.466666666666667, 2.931), (2.85, 1.287)]","[(3.2666666666666666, 2.352), (0.0, 0.0), (3.3833333333333333, 1.493), (4.066666666666666, 1.217), (3.05, 1.255)]","[(3.05, 1.135), (5.083333333333333, 2.086), (0.23333333333333334, 0.073), (6.416666666666667, 2.372), (3.0833333333333335, 1.034)]","[(6.466666666666667, 3.121), (4.4, 1.491), (6.833333333333333, 2.421), (0.0, 0.0), (6.5, 2.183)]","[(3.35, 1.376), (4.883333333333334, 1.973), (2.566666666666667, 1.018), (8.4, 2.565), (0.6166666666666667, 0.121)]"
13,"[(0.0, 0.0), (4.466666666666667, 2.121), (7.433333333333334, 3.24), (7.4, 3.469), (10.633333333333333, 5.235)]","[(3.5166666666666666, 2.107), (0.35, 0.253), (7.733333333333333, 4.105), (4.066666666666666, 1.559), (8.766666666666667, 4.352)]","[(4.333333333333333, 2.13), (7.716666666666667, 3.622), (0.0, 0.0), (8.1, 3.305), (8.35, 3.592)]","[(7.0, 3.544), (3.6666666666666665, 1.556), (7.55, 3.722), (0.0, 0.0), (7.5, 3.519)]","[(10.2, 5.276), (7.7, 4.716), (6.083333333333333, 3.246), (6.933333333333334, 3.35), (0.0, 0.0)]"
14,"[(0.1, 0.035), (5.316666666666666, 1.636), (6.033333333333333, 1.816), (5.3, 2.051), (8.866666666666667, 2.911)]","[(3.65, 1.287), (0.0, 0.0), (6.966666666666667, 1.911), (3.183333333333333, 1.038), (9.083333333333334, 3.341)]","[(7.516666666666667, 2.34), (7.816666666666666, 2.139), (0.0, 0.0), (9.45, 2.933), (3.0, 1.391)]","[(4.366666666666666, 1.841), (2.35, 0.98), (9.45, 2.892), (1.2333333333333334, 0.777), (9.5, 3.734)]","[(5.566666666666666, 1.437), (10.683333333333334, 3.192), (3.1, 1.354), (8.416666666666666, 3.715), (0.35, 0.115)]"
15,"[(0.0, 0.0), (4.566666666666666, 1.909), (7.516666666666667, 3.01), (6.566666666666666, 2.196), (8.533333333333333, 3.487)]","[(3.2666666666666666, 1.644), (0.0, 0.0), (6.95, 2.758), (5.833333333333333, 1.702), (8.216666666666667, 2.896)]","[(6.016666666666667, 2.642), (7.4, 2.931), (0.0, 0.0), (2.433333333333333, 1.161), (4.833333333333333, 2.191)]","[(7.35, 3.68), (6.533333333333333, 3.225), (2.433333333333333, 1.04), (0.0, 0.0), (2.716666666666667, 1.366)]","[(8.483333333333333, 3.806), (7.666666666666667, 3.351), (6.75, 2.517), (5.483333333333333, 2.148), (0.0, 0.0)]"
16,"[(0.0, 0.0), (4.6, 1.288), (3.8666666666666667, 1.532), (7.9, 2.974), (4.5, 2.202)]","[(3.4166666666666665, 0.963), (0.0, 0.0), (6.233333333333333, 1.756), (9.083333333333334, 3.024), (5.683333333333334, 2.252)]","[(3.6, 1.747), (4.933333333333334, 1.681), (0.2, 0.07), (9.666666666666666, 4.21), (6.266666666666667, 3.438)]","[(6.55, 2.68), (10.833333333333334, 3.846), (10.066666666666666, 4.09), (0.0, 0.0), (4.066666666666666, 1.444)]","[(5.25, 1.992), (7.183333333333334, 2.54), (8.066666666666666, 3.363), (7.3, 1.901), (0.0, 0.0)]"
17,"[(0.0, 0.0), (4.583333333333333, 2.345), (6.816666666666666, 2.686), (10.633333333333333, 4.831), (6.2, 3.222)]","[(5.383333333333334, 2.642), (0.0, 0.0), (8.766666666666667, 4.203), (12.45, 5.812), (5.283333333333333, 3.177)]","[(5.4, 1.975), (7.45, 3.283), (0.0, 0.0), (8.15, 3.541), (5.4, 2.636)]","[(11.5, 4.816), (13.15, 5.796), (6.683333333333334, 3.24), (0.0, 0.0), (9.0, 4.297)]","[(7.65, 3.722), (5.583333333333333, 3.187), (5.65, 2.704), (9.383333333333333, 4.313), (0.0, 0.0)]"
18,"[(0.0, 0.0), (4.283333333333333, 2.332), (4.4, 1.884), (3.316666666666667, 1.282), (7.983333333333333, 3.224)]","[(5.033333333333333, 2.613), (0.0, 0.0), (5.366666666666666, 2.173), (8.966666666666667, 3.625), (12.4, 4.813)]","[(5.383333333333334, 2.418), (5.666666666666667, 2.896), (0.15, 0.071), (6.666666666666667, 2.681), (10.133333333333333, 3.869)]","[(5.166666666666667, 2.074), (7.983333333333333, 3.61), (6.75, 2.815), (0.06666666666666667, 0.046), (6.983333333333333, 2.507)]","[(6.7, 2.84), (8.816666666666666, 3.802), (7.583333333333333, 3.007), (3.75, 1.491), (1.15, 0.533)]"
19,"[(0.0, 0.0), (6.416666666666667, 3.597), (5.416666666666667, 1.655), (5.866666666666666, 1.975), (5.516666666666667, 2.54)]","[(9.0, 6.359), (0.08333333333333333, 0.079), (10.8, 6.102), (8.1, 5.877), (8.266666666666667, 6.886)]","[(5.933333333333334, 1.694), (9.05, 3.699), (1.1166666666666667, 0.351), (10.716666666666667, 3.258), (10.45, 3.823)]","[(5.516666666666667, 2.018), (4.983333333333333, 3.068), (9.85, 3.262), (0.0, 0.0), (4.783333333333333, 2.545)]","[(5.116666666666666, 2.617), (5.283333333333333, 4.201), (9.45, 3.861), (4.733333333333333, 2.579), (1.2, 0.939)]"
20,"[(0.0, 0.0), (9.65, 4.946), (10.15, 5.175), (7.166666666666667, 3.328), (8.866666666666667, 4.288)]","[(7.033333333333333, 3.219), (0.0, 0.0), (4.616666666666666, 2.938), (8.683333333333334, 4.954), (3.3833333333333333, 2.051)]","[(9.033333333333333, 4.787), (7.0, 4.029), (0.0, 0.0), (10.666666666666666, 6.522), (7.483333333333333, 4.076)]","[(6.0, 2.165), (10.2, 6.031), (12.083333333333334, 5.954), (0.0, 0.0), (10.866666666666667, 5.067)]","[(7.866666666666666, 3.941), (5.916666666666667, 3.183), (1.2166666666666666, 0.886), (9.5, 5.676), (0.0, 0.0)]"
21,"[(0.0, 0.0), (2.2, 2.173), (1.3333333333333333, 1.216), (3.466666666666667, 3.407), (3.5833333333333335, 1.516)]","[(2.183333333333333, 2.156), (0.25, 0.251), (1.2166666666666666, 1.129), (1.25, 1.233), (6.183333333333334, 3.9)]","[(1.2, 1.196), (1.1333333333333333, 1.049), (0.0, 0.0), (2.4, 2.283), (4.9, 2.491)]","[(3.55, 3.46), (1.3166666666666667, 1.265), (2.5833333333333335, 2.433), (2.8666666666666667, 2.863), (7.966666666666667, 5.204)]","[(2.9, 1.27), (4.85, 3.209), (3.9833333333333334, 2.252), (6.116666666666666, 4.443), (0.0, 0.0)]"
