,0,1,2,3,4
0,"[(0.0, 0.0), (12.583333333333334, 9.954), (13.266666666666667, 9.098), (11.7, 8.818), (17.933333333333334, 11.574)]","[(11.866666666666667, 9.954), (1.2666666666666666, 0.826), (14.066666666666666, 8.94), (8.933333333333334, 4.912), (15.583333333333334, 15.169)]","[(11.916666666666666, 9.745), (12.033333333333333, 11.268), (0.0, 0.0), (3.8666666666666667, 2.474), (8.516666666666667, 5.569)]","[(10.016666666666667, 8.668), (9.716666666666667, 4.932), (7.2, 2.854), (0.0, 0.0), (10.666666666666666, 6.53)]","[(14.75, 11.328), (17.016666666666666, 11.649), (5.6, 3.955), (8.95, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (11.716666666666667, 8.159), (3.4166666666666665, 1.517), (5.3, 2.346), (9.683333333333334, 3.056)]","[(7.25, 6.039), (0.0, 0.0), (9.05, 6.854), (10.883333333333333, 7.683), (11.45, 4.943)]","[(3.783333333333333, 1.58), (13.45, 11.005), (2.75, 0.872), (4.616666666666666, 1.765), (10.966666666666667, 3.425)]","[(5.0, 2.395), (14.7, 11.82), (3.95, 1.751), (0.0, 0.0), (9.166666666666666, 3.39)]","[(8.583333333333334, 3.121), (14.033333333333333, 8.267), (9.7, 3.34), (12.9, 5.315), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (13.066666666666666, 8.439), (9.716666666666667, 5.231), (4.083333333333333, 1.619), (7.95, 3.795)]","[(12.383333333333333, 7.803), (0.23333333333333334, 0.141), (5.366666666666666, 3.123), (7.966666666666667, 6.274), (5.1, 4.29)]","[(10.45, 5.292), (5.633333333333334, 2.929), (0.0, 0.0), (7.616666666666666, 4.517), (6.7, 3.71)]","[(4.416666666666667, 1.54), (9.65, 7.007), (6.883333333333334, 4.28), (0.0, 0.0), (3.183333333333333, 2.204)]","[(7.333333333333333, 3.696), (7.4, 5.202), (6.383333333333334, 3.115), (2.9166666666666665, 2.167), (0.3333333333333333, 0.222)]"
3,"[(0.5166666666666667, 0.191), (4.85, 2.01), (10.116666666666667, 4.063), (17.366666666666667, 7.4), (6.583333333333333, 3.081)]","[(5.6, 2.031), (0.18333333333333332, 0.079), (6.633333333333334, 2.142), (13.733333333333333, 4.96), (3.1333333333333333, 2.061)]","[(10.366666666666667, 3.951), (6.3, 2.178), (0.23333333333333334, 0.072), (9.433333333333334, 3.209), (4.983333333333333, 2.28)]","[(18.6, 7.633), (14.45, 5.198), (8.266666666666667, 3.701), (0.0, 0.0), (12.266666666666667, 6.634)]","[(7.433333333333334, 3.068), (3.4, 2.125), (5.9, 2.39), (12.933333333333334, 6.311), (0.0, 0.0)]"
4,"[(0.1, 0.04), (4.2, 1.519), (5.483333333333333, 2.033), (2.1, 0.902), (4.316666666666666, 1.709)]","[(3.533333333333333, 1.564), (0.0, 0.0), (5.466666666666667, 1.947), (3.6333333333333333, 1.58), (6.7, 2.549)]","[(5.333333333333333, 2.157), (4.9, 1.839), (0.08333333333333333, 0.037), (3.783333333333333, 1.29), (3.8666666666666667, 1.526)]","[(2.1, 1.043), (3.5166666666666666, 1.373), (3.3666666666666667, 1.13), (0.36666666666666664, 0.168), (3.0166666666666666, 1.437)]","[(3.4, 1.574), (6.3, 2.491), (3.783333333333333, 1.507), (3.2333333333333334, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (4.883333333333334, 2.005), (2.566666666666667, 1.35), (4.066666666666666, 1.675), (6.483333333333333, 5.69)]","[(3.466666666666667, 1.384), (0.2, 0.099), (4.4, 1.788), (5.05, 1.93), (9.033333333333333, 6.359)]","[(2.7333333333333334, 1.142), (4.716666666666667, 2.209), (0.0, 0.0), (3.0166666666666666, 1.401), (7.066666666666666, 6.726)]","[(4.416666666666667, 1.715), (4.033333333333333, 1.131), (3.65, 1.405), (0.0, 0.0), (7.466666666666667, 6.454)]","[(4.066666666666666, 2.371), (3.85, 2.399), (3.2666666666666666, 2.061), (2.15, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.133333333333334, 1.561), (3.25, 1.719), (7.816666666666666, 2.899), (7.25, 4.311)]","[(7.216666666666667, 2.399), (0.6166666666666667, 0.255), (7.2, 2.771), (12.433333333333334, 3.969), (11.583333333333334, 5.177)]","[(4.95, 2.148), (9.416666666666666, 3.283), (0.3, 0.092), (8.8, 3.096), (7.35, 4.239)]","[(6.8, 2.911), (10.966666666666667, 4.473), (7.166666666666667, 3.221), (0.16666666666666666, 0.059), (9.083333333333334, 4.464)]","[(7.1, 3.802), (11.033333333333333, 5.364), (5.9, 3.361), (12.433333333333334, 5.071), (0.0, 0.0)]"
7,"[(0.0, 0.0), (7.066666666666666, 2.737), (8.183333333333334, 4.597), (4.483333333333333, 1.583), (12.3, 4.689)]","[(6.033333333333333, 2.777), (0.0, 0.0), (4.433333333333334, 2.191), (4.983333333333333, 1.976), (5.583333333333333, 2.441)]","[(6.2, 3.745), (7.983333333333333, 2.755), (0.0, 0.0), (6.75, 2.966), (6.083333333333333, 2.653)]","[(5.216666666666667, 1.765), (6.3, 1.855), (8.483333333333333, 3.229), (0.0, 0.0), (10.983333333333333, 3.643)]","[(10.1, 4.778), (6.85, 2.701), (6.983333333333333, 3.037), (10.683333333333334, 3.999), (0.11666666666666667, 0.032)]"
8,"[(0.0, 0.0), (3.85, 1.812), (3.5, 1.792), (2.6666666666666665, 2.131), (3.683333333333333, 1.775)]","[(2.6666666666666665, 1.245), (0.2, 0.198), (6.3, 3.038), (2.466666666666667, 1.906), (6.566666666666666, 3.021)]","[(3.6166666666666667, 1.823), (7.383333333333334, 3.607), (0.45, 0.147), (6.183333333333334, 3.926), (4.016666666666667, 1.855)]","[(2.2666666666666666, 1.604), (4.65, 1.83), (5.916666666666667, 3.397), (0.0, 0.0), (5.316666666666666, 2.194)]","[(3.7333333333333334, 1.731), (7.5, 3.515), (3.6666666666666665, 1.69), (6.283333333333333, 2.618), (0.0, 0.0)]"
9,"[(1.05, 0.312), (5.5, 3.999), (9.516666666666667, 5.54), (3.2333333333333334, 1.783), (6.066666666666666, 3.074)]","[(4.55, 2.844), (0.0, 0.0), (5.983333333333333, 3.387), (3.65, 2.164), (6.716666666666667, 2.842)]","[(9.433333333333334, 4.976), (7.816666666666666, 4.272), (0.0, 0.0), (9.366666666666667, 5.143), (6.6, 2.363)]","[(3.2, 1.38), (5.533333333333333, 3.155), (6.383333333333334, 3.743), (0.26666666666666666, 0.136), (4.1, 1.431)]","[(5.383333333333334, 2.98), (9.266666666666667, 4.028), (5.766666666666667, 2.708), (5.533333333333333, 3.002), (0.0, 0.0)]"
