,0,1,2,3,4
0,"[(0.0, 0.0), (10.783333333333333, 9.954), (12.85, 9.098), (10.783333333333333, 8.818), (15.416666666666666, 11.574)]","[(11.25, 9.954), (0.0, 0.0), (12.65, 6.874), (7.5, 4.912), (15.4, 11.214)]","[(12.05, 9.745), (10.033333333333333, 6.527), (0.0, 0.0), (4.116666666666666, 2.474), (8.583333333333334, 5.569)]","[(10.266666666666667, 8.643), (7.55, 4.932), (6.933333333333334, 2.854), (0.2, 0.123), (10.25, 6.53)]","[(14.733333333333333, 11.328), (15.25, 10.327), (5.816666666666666, 3.955), (9.35, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.0, 10.252), (3.3666666666666667, 1.517), (5.433333333333334, 2.346), (10.166666666666666, 3.056)]","[(7.4, 6.039), (0.0, 0.0), (9.15, 6.854), (11.25, 7.683), (13.95, 4.943)]","[(3.683333333333333, 1.58), (13.733333333333333, 11.005), (2.3833333333333333, 0.872), (4.666666666666667, 1.765), (11.383333333333333, 4.729)]","[(5.283333333333333, 2.395), (15.333333333333334, 11.82), (4.116666666666666, 1.751), (0.0, 0.0), (8.933333333333334, 3.39)]","[(8.45, 3.121), (15.033333333333333, 8.267), (9.316666666666666, 3.44), (13.266666666666667, 5.315), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (12.516666666666667, 7.38), (9.466666666666667, 5.231), (3.8666666666666667, 1.619), (7.433333333333334, 4.149)]","[(13.166666666666666, 7.816), (0.2833333333333333, 0.141), (5.7, 3.123), (10.383333333333333, 6.274), (5.766666666666667, 4.29)]","[(9.9, 5.292), (5.6, 2.929), (0.0, 0.0), (7.2, 4.517), (7.016666666666667, 3.71)]","[(4.7, 1.733), (10.233333333333333, 6.433), (7.133333333333334, 4.284), (0.0, 0.0), (3.3833333333333333, 2.204)]","[(7.55, 3.525), (7.75, 5.202), (5.7, 3.115), (3.4, 2.095), (0.35, 0.222)]"
3,"[(0.5166666666666667, 0.191), (4.983333333333333, 2.01), (10.416666666666666, 4.063), (19.533333333333335, 8.859), (7.166666666666667, 3.081)]","[(5.833333333333333, 2.031), (0.18333333333333332, 0.079), (6.95, 2.808), (15.983333333333333, 7.604), (3.75, 1.826)]","[(10.583333333333334, 3.951), (6.05, 2.468), (0.23333333333333334, 0.072), (9.516666666666667, 3.209), (5.016666666666667, 2.28)]","[(18.9, 9.607), (15.066666666666666, 8.664), (8.966666666666667, 3.701), (0.0, 0.0), (12.4, 6.634)]","[(7.333333333333333, 3.068), (3.3833333333333333, 2.125), (5.4, 2.545), (13.683333333333334, 6.054), (0.0, 0.0)]"
4,"[(0.06666666666666667, 0.04), (4.266666666666667, 1.503), (5.816666666666666, 2.033), (2.2666666666666666, 0.902), (4.516666666666667, 1.709)]","[(4.216666666666667, 1.619), (0.0, 0.0), (6.033333333333333, 1.947), (4.033333333333333, 1.58), (7.533333333333333, 2.549)]","[(6.616666666666666, 2.157), (5.883333333333334, 1.839), (0.08333333333333333, 0.037), (4.433333333333334, 1.5), (4.316666666666666, 1.526)]","[(2.2333333333333334, 1.043), (3.45, 1.373), (3.533333333333333, 1.13), (0.38333333333333336, 0.168), (3.7333333333333334, 1.451)]","[(3.6166666666666667, 1.644), (7.15, 2.491), (3.8666666666666667, 1.507), (3.683333333333333, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.316666666666666, 2.005), (3.7333333333333334, 1.223), (4.416666666666667, 1.675), (7.766666666666667, 5.73)]","[(4.033333333333333, 1.384), (0.0, 0.0), (5.3, 1.788), (4.933333333333334, 1.868), (8.866666666666667, 6.317)]","[(2.966666666666667, 1.142), (5.3, 2.209), (0.0, 0.0), (3.1666666666666665, 1.401), (7.4, 6.726)]","[(4.216666666666667, 1.715), (3.9166666666666665, 1.131), (3.433333333333333, 1.405), (0.0, 0.0), (7.466666666666667, 6.454)]","[(4.166666666666667, 2.371), (4.85, 2.399), (3.3833333333333333, 2.061), (2.65, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.0, 1.561), (3.566666666666667, 1.719), (7.366666666666666, 3.285), (7.0, 4.125)]","[(5.8, 2.399), (0.7, 0.255), (6.966666666666667, 2.771), (11.15, 3.969), (10.366666666666667, 5.177)]","[(3.7666666666666666, 1.721), (8.266666666666667, 3.283), (0.3, 0.092), (9.383333333333333, 3.096), (7.9, 4.279)]","[(8.25, 2.848), (12.55, 4.41), (7.633333333333334, 3.158), (0.16666666666666666, 0.059), (10.05, 4.464)]","[(6.016666666666667, 3.802), (10.3, 5.364), (6.283333333333333, 3.361), (11.966666666666667, 7.316), (0.15, 0.118)]"
7,"[(0.0, 0.0), (7.15, 2.737), (7.833333333333333, 4.597), (3.95, 1.583), (14.35, 4.634)]","[(6.066666666666666, 2.777), (0.0, 0.0), (4.466666666666667, 2.191), (5.433333333333334, 1.976), (6.05, 2.374)]","[(6.516666666666667, 3.661), (7.666666666666667, 2.755), (0.0, 0.0), (7.366666666666666, 2.966), (5.866666666666666, 2.653)]","[(6.066666666666666, 2.002), (6.366666666666666, 1.855), (9.1, 3.229), (0.0, 0.0), (13.116666666666667, 3.588)]","[(10.583333333333334, 4.868), (6.216666666666667, 2.701), (7.466666666666667, 3.127), (11.333333333333334, 4.089), (0.05, 0.032)]"
8,"[(0.0, 0.0), (4.183333333333334, 1.904), (3.75, 1.792), (2.7, 2.131), (4.016666666666667, 1.775)]","[(2.9, 1.245), (0.2, 0.198), (6.766666666666667, 3.038), (2.5166666666666666, 1.906), (7.0, 3.021)]","[(3.9833333333333334, 1.823), (7.983333333333333, 3.699), (0.45, 0.147), (6.5, 3.926), (4.366666666666666, 1.855)]","[(2.316666666666667, 1.604), (4.8, 1.83), (6.15, 3.397), (0.0, 0.0), (6.133333333333334, 2.194)]","[(4.1, 1.804), (8.1, 3.68), (4.033333333333333, 1.763), (6.616666666666666, 3.907), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.133333333333334, 3.999), (9.566666666666666, 5.449), (3.4, 1.53), (6.25, 3.074)]","[(4.883333333333334, 2.844), (0.0, 0.0), (5.65, 3.387), (3.9, 2.164), (6.966666666666667, 2.842)]","[(10.266666666666667, 4.976), (8.45, 4.272), (0.0, 0.0), (10.216666666666667, 5.143), (6.166666666666667, 2.422)]","[(3.1666666666666665, 1.38), (5.416666666666667, 3.226), (6.483333333333333, 3.678), (0.3, 0.136), (4.183333333333334, 1.431)]","[(5.633333333333334, 2.98), (9.583333333333334, 4.028), (6.483333333333333, 2.763), (5.583333333333333, 3.002), (0.0, 0.0)]"
